时间戳 = 1724639328.677000  方向盘角度 = 0  油门 = 0  刹车 = 0
时间戳 = 1724639328.723000  方向盘角度 = -275  油门 = 32767  刹车 = 16644
时间戳 = 1724639328.769000  方向盘角度 = -279  油门 = 32767  刹车 = 16384
时间戳 = 1724639328.817000  方向盘角度 = -279  油门 = 32767  刹车 = 16904
时间戳 = 1724639328.864000  方向盘角度 = -286  油门 = 32767  刹车 = 16904
时间戳 = 1724639328.911000  方向盘角度 = -293  油门 = 32767  刹车 = 17164
时间戳 = 1724639328.956000  方向盘角度 = -294  油门 = 32767  刹车 = 17164
时间戳 = 1724639329.004000  方向盘角度 = -294  油门 = 32767  刹车 = 17424
时间戳 = 1724639329.051000  方向盘角度 = -294  油门 = 32767  刹车 = 17424
时间戳 = 1724639329.098000  方向盘角度 = -294  油门 = 32767  刹车 = 17684
时间戳 = 1724639329.145000  方向盘角度 = -294  油门 = 32767  刹车 = 17424
时间戳 = 1724639329.193000  方向盘角度 = -294  油门 = 32767  刹车 = 17424
时间戳 = 1724639329.241000  方向盘角度 = -294  油门 = 32767  刹车 = 17684
时间戳 = 1724639329.288000  方向盘角度 = -294  油门 = 32767  刹车 = 17424
时间戳 = 1724639329.335000  方向盘角度 = -294  油门 = 32767  刹车 = 17424
时间戳 = 1724639329.381000  方向盘角度 = -294  油门 = 32767  刹车 = 17424
时间戳 = 1724639329.429000  方向盘角度 = -294  油门 = 32767  刹车 = 17684
时间戳 = 1724639329.476000  方向盘角度 = -294  油门 = 32767  刹车 = 17684
时间戳 = 1724639329.524000  方向盘角度 = -294  油门 = 32767  刹车 = 17944
时间戳 = 1724639329.572000  方向盘角度 = -294  油门 = 32767  刹车 = 17944
时间戳 = 1724639329.618000  方向盘角度 = -293  油门 = 32767  刹车 = 17944
时间戳 = 1724639329.666000  方向盘角度 = -288  油门 = 32767  刹车 = 17684
时间戳 = 1724639329.714000  方向盘角度 = -287  油门 = 32767  刹车 = 17684
时间戳 = 1724639329.762000  方向盘角度 = -287  油门 = 32767  刹车 = 17684
时间戳 = 1724639329.810000  方向盘角度 = -287  油门 = 32767  刹车 = 17684
时间戳 = 1724639329.858000  方向盘角度 = -287  油门 = 32767  刹车 = 17684
时间戳 = 1724639329.906000  方向盘角度 = -287  油门 = 32767  刹车 = 17944
时间戳 = 1724639329.952000  方向盘角度 = -287  油门 = 32767  刹车 = 17944
时间戳 = 1724639329.998000  方向盘角度 = -287  油门 = 32767  刹车 = 17944
时间戳 = 1724639330.045000  方向盘角度 = -287  油门 = 32767  刹车 = 17944
时间戳 = 1724639330.091000  方向盘角度 = -287  油门 = 32767  刹车 = 17944
时间戳 = 1724639330.137000  方向盘角度 = -299  油门 = 32767  刹车 = 17944
时间戳 = 1724639330.184000  方向盘角度 = -306  油门 = 32767  刹车 = 17424
时间戳 = 1724639330.231000  方向盘角度 = -307  油门 = 32767  刹车 = 17424
时间戳 = 1724639330.276000  方向盘角度 = -306  油门 = 32767  刹车 = 17944
时间戳 = 1724639330.324000  方向盘角度 = -306  油门 = 32767  刹车 = 17944
时间戳 = 1724639330.372000  方向盘角度 = -306  油门 = 32767  刹车 = 17684
时间戳 = 1724639330.418000  方向盘角度 = -306  油门 = 32767  刹车 = 17684
时间戳 = 1724639330.463000  方向盘角度 = -306  油门 = 32767  刹车 = 17944
时间戳 = 1724639330.511000  方向盘角度 = -306  油门 = 32767  刹车 = 17424
时间戳 = 1724639330.558000  方向盘角度 = -306  油门 = 32767  刹车 = 17944
时间戳 = 1724639330.603000  方向盘角度 = -306  油门 = 32767  刹车 = 17684
时间戳 = 1724639330.651000  方向盘角度 = -306  油门 = 32767  刹车 = 17684
时间戳 = 1724639330.698000  方向盘角度 = -300  油门 = 32767  刹车 = 17684
时间戳 = 1724639330.744000  方向盘角度 = -299  油门 = 32767  刹车 = 17684
