label,n_samples,duration_sec,sampling_rate_hz,steer_mean,steer_std,steer_min,steer_max,steer_median,steer_q25,steer_q75,throttle_mean,throttle_std,throttle_min,throttle_max,throttle_median,throttle_q25,throttle_q75,brake_mean,brake_std,brake_min,brake_max,brake_median,brake_q25,brake_q75,steer_abs_mean,steer_abs_std,steer_pos_ratio,steer_neg_ratio,steer_zero_ratio,steer_signchange_rate,throttle_active_ratio,throttle_zero_ratio,throttle_active_mean,throttle_active_std,brake_active_ratio,brake_zero_ratio,brake_active_mean,brake_active_std,steer_diff_mean,steer_diff_std,steer_diff_abs_mean,throttle_diff_mean,throttle_diff_std,throttle_diff_abs_mean,brake_diff_mean,brake_diff_std,brake_diff_abs_mean,subject_id,study
,14033.0,659.0929999351501,21.28986349632092,-1118.209434903442,10367.035103414166,-32768.0,32767.0,-955.0,-5000.0,2067.0,30382.675693009336,5209.067666829215,0.0,32767.0,32767.0,32767.0,32767.0,24005.30649184066,13093.431737681874,-28672.0,32767.0,32767.0,17684.0,32767.0,7021.389082876078,7708.8199176396165,0.3844509370768902,0.6151214993230243,0.00042756360008551275,0.005772519954389966,0.9995724363999144,0.00042756360008551275,30395.67177586084,5172.133788602297,0.9387871445877575,0.0008551272001710255,26425.22073781691,9049.847191431287,-0.0862314709236032,334.85503228957486,159.3728620296465,2.3351624857468645,341.3933948153901,29.688782782212087,0.759905929304447,709.9993232830317,126.69904503990878,P1,1
,13095.0,616.1440000534058,21.251525615546115,-527.3906834669722,6056.824607588659,-22521.0,25965.0,-693.0,-2783.0,2133.0,23212.134555173732,11291.442017561854,-5120.0,32767.0,30687.0,13784.0,32767.0,29203.00175639557,7936.252920978005,-3072.0,32767.0,32767.0,32767.0,32767.0,3883.9582283314244,4677.406732440093,0.4228331424207713,0.57709049255441,7.636502481863306e-05,0.00725523140369635,0.9700649102710959,0.005116456662848415,23982.826576399275,10560.075572753029,0.9901489117983964,0.0002290950744558992,29514.927965448096,7330.005064796328,-0.09783106766457919,202.0791118385428,89.83099129372232,2.5024438674201925,443.5413710928414,45.66480830914923,1.1718344279822819,580.7292239935607,76.89873224377577,P1,2
,16983.0,798.3819999694824,21.27051962675652,1127.296708473179,7493.9520200069055,-32768.0,32767.0,298.0,-888.0,1269.0,29132.10516398752,7939.168455420167,-4352.0,32767.0,32767.0,32767.0,32767.0,27944.54413236766,11378.170421989578,-32768.0,32767.0,32767.0,32767.0,32767.0,3831.265265265265,6538.464744439012,0.545192251074604,0.4546311016899252,0.0001766472354707649,0.008126251324932282,0.9982335276452924,0.00041217688276511805,29186.012977054208,7841.768170279155,0.9394099982335277,0.0010598834128245894,30309.43869875893,6378.25220788878,-0.010717230008244023,215.06963237537272,92.20056530443999,1.9295136026380875,941.5875033250182,193.1469202685196,-0.3919444117300671,1068.987643236872,222.93310564126722,P10,1
,21854.0,1027.3580000400543,21.271066170845998,-1962.5131783655165,7896.6943627846085,-32768.0,24020.0,-215.0,-929.0,692.0,25780.284844879658,11705.42074964937,-14080.0,32767.0,32767.0,19505.0,32767.0,26818.82813214972,14521.616970601308,-32768.0,32767.0,32767.0,32767.0,32767.0,3335.5388944815595,7421.820539321419,0.43246087672737255,0.5674476068454287,9.151642719868216e-05,0.00983846611449229,0.9497117232543242,0.0026997346023611237,27450.926379185737,9369.738750135808,0.8962661297702937,0.0008694060583874806,31315.345790575382,5188.073967629092,-0.025442730975152154,143.21829738319795,56.764563217864826,1.499427996156134,1111.267073660969,297.9809179517686,1.499427996156134,1057.5809031625984,210.0804008602938,P10,2
,17405.0,817.6579999923706,21.285182802788444,790.645848893996,6277.257466837771,-19649.0,32767.0,68.0,-406.0,652.0,27613.491180695204,9119.842251668144,-12800.0,32767.0,32767.0,24966.0,32767.0,27667.382246480895,9935.090181194615,-23296.0,32767.0,32767.0,27306.0,32767.0,2968.267336972134,5587.349208668474,0.54409652398736,0.4557885665038782,0.00011490950876185004,0.010514824178349804,0.9760988221775352,0.0024130996839988508,28349.499440814645,7894.245346933267,0.9664464234415397,0.0016661878770468255,28755.12300101064,8145.62309177192,0.026143415306826016,198.00054601106987,72.95466559411629,1.882728108480809,570.1526597055778,124.10876809928752,0.9264536888071707,636.7306366842231,180.5672259250747,P11,1
,16901.0,795.3759999275208,21.24781235735052,-332.93172001656706,3551.134101268952,-32768.0,16183.0,-25.0,-536.0,495.0,13115.885805573635,19254.44509391377,-32768.0,32767.0,17424.0,-5120.0,32767.0,27250.58659250932,12747.113450547782,-32768.0,32767.0,32767.0,32767.0,32767.0,1212.2258446245785,3354.3860000024843,0.4887284776048755,0.5112123542985623,5.916809656233359e-05,0.01455621301775148,0.677711378024969,0.0020708833796816758,24624.625982189627,10480.213758153863,0.923909827820839,0.0007691852553103367,30353.057700928595,6511.0826670739725,-0.016213017751479288,120.21436758976807,43.314437869822484,1.9388757396449705,976.2583845902475,229.9791124260355,-0.13633136094674556,753.8545543445816,186.48272189349112,P11,2
,19448.0,914.1560001373291,21.27317437841963,-276.1154874537227,5904.946811565667,-32768.0,26449.0,70.0,-673.0,677.0,25993.6364664747,10351.176028126072,-23552.0,32767.0,32767.0,21065.0,32767.0,26638.383021390375,12031.265096163605,-29696.0,32767.0,32767.0,27826.0,32767.0,2854.580728095434,5176.48582308669,0.5269950637597697,0.4729535170711641,5.141916906622789e-05,0.013215405975214686,0.9740847387906212,0.0021081859317153436,26885.527977195947,8840.36921150783,0.9243109831345125,0.004216371863430687,29258.035213618157,7990.8469849419025,-0.006684835707307039,241.00008045389092,96.50629917210881,1.684938550933306,1134.0034951048372,262.5362780891654,1.684938550933306,1369.5869448401036,352.9417905075333,P12,1
,16186.0,761.2430000305176,21.261279249006108,-372.7235265043865,4193.770297053371,-32768.0,14871.0,55.0,-673.75,678.0,17042.69986408007,15660.785764431426,-32768.0,32767.0,20285.0,2862.0,32767.0,26116.268750772273,14886.113538825464,-32768.0,32767.0,32767.0,32767.0,32767.0,1592.8124922772768,3897.3812356635626,0.5269986408006919,0.47293957741257875,6.17817867292722e-05,0.013592832869941304,0.8183615470159397,0.012974175213147164,22419.197644571945,11317.63093770148,0.8813789694797973,0.007537377980971209,31125.26272255713,5358.791942363936,0.005807846771702194,148.77984213060975,57.320976212542476,2.0245288847698486,1074.1664203586026,257.7944392956441,2.0245288847698486,1240.3541971549412,230.62261353104728,P12,2
,19738.0,927.5269999504089,21.279164920326046,-483.89441686087747,5905.338729692888,-32768.0,32767.0,-188.0,-950.0,859.25,30480.07153713649,5305.985336196414,0.0,32767.0,32767.0,32767.0,32767.0,28572.492552436925,7387.940712238093,-32768.0,32767.0,32767.0,24966.0,32767.0,3232.3897051372987,4965.766417503179,0.4658020062822981,0.5336913567737359,0.000506636943965954,0.004002634645589502,0.9994933630560341,0.000506636943965954,30495.521695052717,5262.755037563227,0.9873847400952478,0.0011146012767250988,29033.121966237366,6121.981307762385,-0.0028879768961848303,161.06995960163118,55.93286720372904,1.660181385215585,313.44433114605124,30.2515579875361,1.1463241627400313,462.40057669520144,71.3562851497188,P13,1
,19770.0,928.7039999961853,21.286653228672648,-595.6336874051593,2901.8673353595123,-32768.0,14401.0,-312.0,-915.0,311.0,23784.400606980274,12969.142891150012,-19456.0,32767.0,32767.0,16124.0,32767.0,27644.86980273141,11900.922063640248,-32768.0,32767.0,32767.0,31207.0,32767.0,1416.1280728376328,2601.9598004042173,0.35250379362670714,0.6474456246838645,5.058168942842691e-05,0.010218018109160808,0.917653009610521,0.0014668689934243804,26539.24286186749,9425.70938235404,0.9605968639352555,0.004451188669701568,29470.14501606024,7494.171990199044,0.010774444837877485,92.35602538223496,35.163589458242704,1.6574940563508525,594.9371152235141,87.8896757549699,1.6574940563508525,726.8574396423764,119.74480246851131,P13,2
