feature_dropped,feature_kept,corr_value,between_class_var_dropped,between_class_var_kept
city_n_samples_std_over_windows,city_n_samples_mean_over_windows,-0.969812611082044,0.1325846052015409,0.1596851653838923
city_n_samples_mean_over_windows,city_duration_sec_mean_over_windows,0.989820814887955,0.1596851653838923,0.1639502907043002
city_duration_sec_std_over_windows,city_duration_sec_mean_over_windows,-0.9861357262554336,0.1329502395745365,0.1639502907043002
city_steer_std_mean_over_windows,city_steer_abs_std_mean_over_windows,0.952614752965688,0.0655355271799099,0.1107489095237191
city_steer_std_std_over_windows,city_steer_abs_std_std_over_windows,0.9408444990833664,0.0248216999877765,0.0640340678961608
city_throttle_mean_mean_over_windows,city_throttle_std_mean_over_windows,-0.9000347438323,0.0267466225109465,0.032995189686425
city_throttle_std_mean_over_windows,city_throttle_min_mean_over_windows,-0.9352266921030764,0.032995189686425,0.0688890981254852
city_throttle_min_mean_over_windows,city_throttle_diff_std_mean_over_windows,-0.9322570109916467,0.0688890981254852,0.0761667254107007
city_throttle_max_mean_over_windows,city_throttle_max_std_over_windows,-0.9960259686520566,0.2221706110455927,0.2807576064769696
city_throttle_median_std_over_windows,city_throttle_median_mean_over_windows,-0.9017450354759405,0.0643939433596872,0.0944926580856111
city_throttle_q25_mean_over_windows,city_throttle_active_mean_mean_over_windows,0.9599600285902107,0.0135256903754796,0.029984231080034
city_throttle_q75_mean_over_windows,city_throttle_q75_std_over_windows,-0.9470555629263958,0.0596481782050673,0.1025977375018287
city_brake_mean_std_over_windows,city_brake_mean_mean_over_windows,-0.9233222879263137,0.0671070975579791,0.0676830942623414
city_brake_mean_mean_over_windows,city_brake_q25_mean_over_windows,0.9783876280303114,0.0676830942623414,0.0721549110784725
city_brake_std_mean_over_windows,city_brake_min_mean_over_windows,-0.9356939139434216,0.0686251362653444,0.078954133190484
city_brake_max_std_over_windows,city_brake_max_mean_over_windows,-0.9990432210963325,0.03649755041662,0.0386313741365704
city_brake_median_std_over_windows,city_brake_median_mean_over_windows,-0.9337701784156206,0.0377977163073098,0.0559659227019107
city_brake_q25_mean_over_windows,city_brake_q25_std_over_windows,-0.9615355511496696,0.0721549110784725,0.0730320103472147
city_brake_active_ratio_mean_over_windows,city_brake_q25_std_over_windows,-0.9146121443006321,0.040147873490797,0.0730320103472147
city_brake_q75_mean_over_windows,city_brake_q75_std_over_windows,-0.9567501803150483,0.0439941447682171,0.0564032080198678
city_steer_neg_ratio_mean_over_windows,city_steer_pos_ratio_mean_over_windows,-0.9999971467618984,0.0641348229915757,0.0644099322276374
city_steer_neg_ratio_std_over_windows,city_steer_pos_ratio_std_over_windows,0.999978313221474,0.1907698106694362,0.1924826883857057
city_steer_zero_ratio_mean_over_windows,city_steer_zero_ratio_std_over_windows,0.9850889318970858,0.1463032791826628,0.210223143575288
city_throttle_active_ratio_std_over_windows,city_throttle_active_ratio_mean_over_windows,-0.9783764702858636,0.0171912912125082,0.0243910412408054
city_brake_zero_ratio_std_over_windows,city_brake_zero_ratio_mean_over_windows,0.9359830260975867,0.0565475003888406,0.0920592921429086
city_throttle_diff_mean_std_over_windows,city_throttle_diff_mean_mean_over_windows,0.9055089278925308,0.1005233372998915,0.1205722168975411
city_throttle_diff_mean_mean_over_windows,highway_brake_diff_mean_mean_over_windows,-0.9019945735621934,0.1205722168975411,0.2341006520943927
city_throttle_diff_abs_mean_mean_over_windows,city_throttle_diff_std_mean_over_windows,0.9730768959208779,0.0639598152950544,0.0761667254107007
city_throttle_diff_std_mean_over_windows,city_throttle_diff_abs_mean_std_over_windows,0.9458808531919827,0.0761667254107007,0.0976285684176653
city_brake_diff_abs_mean_mean_over_windows,city_brake_diff_std_mean_over_windows,0.9617556791850619,0.0520122931375546,0.0548253819973952
highway_n_samples_mean_over_windows,highway_n_samples_std_over_windows,-0.9626620287320083,0.2157226385574054,0.2979289736782875
highway_duration_sec_mean_over_windows,highway_n_samples_std_over_windows,-0.9679324248598437,0.2335443069004924,0.2979289736782875
highway_duration_sec_std_over_windows,highway_n_samples_std_over_windows,0.9999800616737535,0.2962231123655581,0.2979289736782875
highway_steer_mean_std_over_windows,highway_steer_abs_mean_std_over_windows,0.9732619009810545,0.0236952020226639,0.0381416156585319
highway_steer_std_mean_over_windows,highway_steer_min_mean_over_windows,-0.9238408082010643,0.0353654987070211,0.0532376592383824
highway_steer_std_std_over_windows,highway_steer_abs_std_std_over_windows,0.9020352316953371,0.0957611950123538,0.100457135472061
highway_steer_abs_std_mean_over_windows,highway_steer_min_mean_over_windows,-0.919308878344232,0.0241403895296647,0.0532376592383824
highway_steer_max_mean_over_windows,highway_steer_diff_std_mean_over_windows,0.9164047774065271,0.0377097456672367,0.0392130187279301
highway_throttle_median_std_over_windows,highway_throttle_mean_std_over_windows,0.9187097716208495,0.0111369667555663,0.0288132461348972
highway_throttle_mean_std_over_windows,highway_throttle_q25_std_over_windows,0.9106411327964161,0.0288132461348972,0.0490014641479727
highway_throttle_std_mean_over_windows,highway_throttle_min_mean_over_windows,-0.9803124934229314,0.0156786071400505,0.0175474204130836
highway_throttle_q25_std_over_windows,highway_throttle_std_std_over_windows,0.9393851229261271,0.0490014641479727,0.1210267671336183
highway_throttle_min_mean_over_windows,highway_throttle_diff_std_mean_over_windows,-0.9128241606502485,0.0175474204130836,0.0389992076737712
highway_throttle_max_mean_over_windows,highway_throttle_max_std_over_windows,-0.9386653075259972,0.0171580320515274,0.0236767458709784
highway_brake_min_mean_over_windows,highway_brake_std_mean_over_windows,-0.9391902035568731,0.0441373503145489,0.0660808898770582
highway_brake_max_mean_over_windows,highway_brake_max_std_over_windows,-0.9490340145599997,0.027888744976325,0.0291777347173381
highway_brake_q25_mean_over_windows,highway_brake_q25_std_over_windows,-0.9035600453551843,0.0756999740448999,0.0982343013349347
highway_steer_pos_ratio_mean_over_windows,highway_steer_neg_ratio_mean_over_windows,-0.9999959389913254,0.223933643289539,0.2245394276815244
