feature_dropped,feature_kept,corr_value,between_class_var_dropped,between_class_var_kept
city_n_samples_std_over_windows,city_n_samples_mean_over_windows,-0.9729680560412384,0.1410376691007324,0.1776642526953421
city_duration_sec_mean_over_windows,city_n_samples_mean_over_windows,0.9999132770564423,0.1774483978452843,0.1776642526953421
city_duration_sec_std_over_windows,city_n_samples_mean_over_windows,-0.9734549938067176,0.141374838676265,0.1776642526953421
city_steer_abs_mean_mean_over_windows,city_steer_std_mean_over_windows,0.9249775616705339,0.0361555822706722,0.0726647613767223
city_steer_std_mean_over_windows,city_steer_abs_std_mean_over_windows,0.9870010724370968,0.0726647613767223,0.094188571236652
city_steer_abs_std_std_over_windows,city_steer_std_std_over_windows,0.9759325902092554,0.0768225087527256,0.1052685069083564
city_steer_q25_mean_over_windows,city_steer_q25_std_over_windows,-0.9671990525962121,0.0503270016642493,0.0808415757058443
city_steer_q75_std_over_windows,city_steer_q75_mean_over_windows,0.9665085847952362,0.0345964369871406,0.0479472580013953
city_throttle_mean_mean_over_windows,city_throttle_q25_mean_over_windows,0.9087972258226823,0.0100587154847465,0.0521928352008882
city_throttle_mean_std_over_windows,city_throttle_active_mean_std_over_windows,0.9832838628906924,0.0351369286595765,0.0438719701615112
city_throttle_std_mean_over_windows,city_throttle_active_std_mean_over_windows,0.9655057073443448,0.0134091279198437,0.0246403218835037
city_throttle_std_std_over_windows,city_throttle_active_std_std_over_windows,0.9578681307012397,0.1324066236676098,0.1961340377834022
city_throttle_median_std_over_windows,city_throttle_median_mean_over_windows,-0.9875320704835964,0.0476104385162163,0.0627403941323164
city_throttle_active_mean_mean_over_windows,city_throttle_q25_mean_over_windows,0.9114556661060234,0.0124657046064252,0.0521928352008882
city_throttle_q75_std_over_windows,city_throttle_q75_mean_over_windows,-0.9999999999999998,0.0260869565217391,0.0260869565217391
city_throttle_q75_mean_over_windows,city_brake_diff_mean_mean_over_windows,0.9180439354967037,0.0260869565217391,0.0358845585463863
city_brake_std_mean_over_windows,city_brake_mean_mean_over_windows,-0.968651374909373,0.1031277727895149,0.1227103713301057
city_brake_mean_mean_over_windows,city_brake_q25_mean_over_windows,0.9455716693905988,0.1227103713301057,0.1310426025555936
city_brake_median_std_over_windows,city_brake_median_mean_over_windows,-0.9997981492265714,0.9955319360755218,0.9977882458767552
