feature_dropped,feature_kept,corr_value,between_class_var_dropped,between_class_var_kept
city_n_samples_std_over_windows,city_n_samples_mean_over_windows,-0.9365476746593445,0.1040372970732678,0.1237215501049552
city_duration_sec_mean_over_windows,city_n_samples_mean_over_windows,0.9993896764821467,0.1225136473490004,0.1237215501049552
city_duration_sec_std_over_windows,city_n_samples_mean_over_windows,-0.9375080195053167,0.1040932574608351,0.1237215501049552
city_steer_abs_mean_mean_over_windows,city_steer_std_mean_over_windows,0.9206560801846899,0.0164013046442359,0.0743448902357866
city_steer_std_mean_over_windows,city_steer_abs_std_mean_over_windows,0.9816514333038473,0.0743448902357866,0.1212555182022429
city_steer_abs_std_std_over_windows,city_steer_std_std_over_windows,0.9600547294025168,0.0570827083658544,0.1030882894036942
city_steer_q25_std_over_windows,city_steer_q25_mean_over_windows,-0.9772950077546618,0.0553671628309726,0.0768443993324979
city_steer_q75_mean_over_windows,city_steer_q75_std_over_windows,0.9388899650811549,0.010334981019755,0.0356232361306145
city_throttle_mean_std_over_windows,city_throttle_active_mean_std_over_windows,0.967918423413886,0.1622189299435348,0.2221637217584428
city_throttle_std_mean_over_windows,city_throttle_active_std_mean_over_windows,0.9755935400407307,0.0149840510992857,0.0195053182751111
city_throttle_median_mean_over_windows,city_throttle_median_std_over_windows,-0.9483866090804455,0.0595596032388551,0.1236618211482677
city_throttle_active_mean_mean_over_windows,city_throttle_q25_mean_over_windows,0.9584857115731374,0.0107619807380088,0.0363504292528284
city_brake_std_mean_over_windows,city_brake_mean_mean_over_windows,-0.9726250215483804,0.0686721206889233,0.091827620550018
city_brake_mean_mean_over_windows,city_brake_q25_mean_over_windows,0.9431507929839491,0.091827620550018,0.1767610518671262
city_brake_median_std_over_windows,city_brake_median_mean_over_windows,-0.9955682052692503,0.747671791504466,0.8200270340551746
city_brake_q25_std_over_windows,city_brake_q25_mean_over_windows,-0.9031983120678941,0.1582288436927613,0.1767610518671262
city_steer_neg_ratio_mean_over_windows,city_steer_pos_ratio_mean_over_windows,-0.999997291992999,0.1021562020832311,0.1025508100727553
city_steer_neg_ratio_std_over_windows,city_steer_pos_ratio_std_over_windows,0.9999918594277944,0.1398486536898133,0.1402307233654176
city_steer_zero_ratio_mean_over_windows,city_steer_zero_ratio_std_over_windows,0.9756714303709247,0.1216202332803901,0.206526429774583
city_throttle_active_ratio_std_over_windows,city_throttle_active_ratio_mean_over_windows,-0.9502555774585886,0.0123828520842593,0.017997273945104
city_brake_zero_ratio_std_over_windows,city_brake_zero_ratio_mean_over_windows,0.9372338095665652,0.0696663814388398,0.0985966875107406
city_throttle_diff_mean_std_over_windows,city_throttle_diff_mean_mean_over_windows,0.9469712989483873,0.1442224557813574,0.1450976229730296
city_throttle_diff_abs_mean_mean_over_windows,city_throttle_diff_std_mean_over_windows,0.943166299288704,0.0430235468834103,0.0503647844044895
city_brake_diff_abs_mean_mean_over_windows,city_brake_diff_std_mean_over_windows,0.9092857757637695,0.0268442003708853,0.0438847544181431
highway_n_samples_mean_over_windows,highway_n_samples_std_over_windows,-0.9787998429750808,0.0524541215044046,0.1020788631671883
highway_duration_sec_mean_over_windows,highway_n_samples_std_over_windows,-0.9799029265136032,0.0516401391879716,0.1020788631671883
highway_n_samples_std_over_windows,highway_duration_sec_std_over_windows,0.9999951897846262,0.1020788631671883,0.1024417151747576
highway_steer_q25_mean_over_windows,highway_steer_mean_std_over_windows,-0.9420666045565758,0.0172704253533949,0.0359249916133591
highway_steer_q25_std_over_windows,highway_steer_mean_std_over_windows,0.9316183169019763,0.0125685905889942,0.0359249916133591
highway_steer_abs_mean_std_over_windows,highway_steer_mean_std_over_windows,0.9446643482290978,0.0240452453684229,0.0359249916133591
highway_steer_abs_std_mean_over_windows,highway_steer_std_mean_over_windows,0.9941317011691654,0.0598263090555665,0.0631068296812415
highway_steer_abs_std_std_over_windows,highway_steer_std_std_over_windows,0.9921658450292107,0.0523183399020491,0.0539432329058558
highway_steer_median_mean_over_windows,highway_steer_pos_ratio_mean_over_windows,0.9089728152562815,0.1522847340430205,0.1847506017433797
highway_throttle_std_mean_over_windows,highway_throttle_min_mean_over_windows,-0.9261532108541728,0.0288382813646644,0.0357289894605358
highway_throttle_q75_mean_over_windows,highway_throttle_q75_std_over_windows,-0.9873427993167448,0.0583547351910036,0.0660844287398994
highway_brake_median_std_over_windows,highway_brake_median_mean_over_windows,-0.9704745407404374,0.0103038993681015,0.0130718400111221
highway_brake_q25_std_over_windows,highway_brake_q25_mean_over_windows,-0.9264272714057367,0.032304986129848,0.0332652185097118
highway_brake_q75_mean_over_windows,highway_brake_q75_std_over_windows,-0.9972509727851641,0.0538205980066445,0.0544521586461889
highway_steer_pos_ratio_mean_over_windows,highway_steer_neg_ratio_mean_over_windows,-0.999996952974585,0.1847506017433797,0.1852604977038729
highway_steer_pos_ratio_std_over_windows,highway_steer_neg_ratio_std_over_windows,0.9999895713793767,0.1444926164665932,0.1450500155958798
highway_steer_zero_ratio_std_over_windows,highway_steer_zero_ratio_mean_over_windows,0.9963109850497424,0.0329513692884735,0.0333773232335419
highway_throttle_zero_ratio_mean_over_windows,highway_throttle_zero_ratio_std_over_windows,0.9618239368100969,0.0119443796412969,0.022152722988638
highway_brake_zero_ratio_mean_over_windows,highway_brake_zero_ratio_std_over_windows,0.963814597544746,0.036909040917271,0.0667567575444405
highway_steer_diff_abs_mean_mean_over_windows,highway_steer_diff_std_mean_over_windows,0.9097586042749163,0.0377728488186287,0.0534636343131441
highway_throttle_diff_std_mean_over_windows,highway_throttle_diff_abs_mean_mean_over_windows,0.9271049652663914,0.052034315970057,0.0814214094472263
highway_brake_diff_std_mean_over_windows,highway_brake_diff_abs_mean_mean_over_windows,0.9326391831620181,0.0195686832091549,0.0812982421139745
