feature,between_class_var,dropped
city_n_samples_mean_over_windows,0.16578142636529156,False
city_n_samples_std_over_windows,0.1170479542843307,False
city_duration_sec_mean_over_windows,0.1628976048076937,False
city_duration_sec_std_over_windows,0.11742434848023323,False
city_sampling_rate_hz_mean_over_windows,0.0008779934132613664,True
city_sampling_rate_hz_std_over_windows,0.04951353244340682,False
city_steer_mean_mean_over_windows,0.10343812325620504,False
city_steer_mean_std_over_windows,0.025356644885116426,False
city_steer_std_mean_over_windows,0.04307689033896747,False
city_steer_std_std_over_windows,0.029218166987733375,False
city_steer_min_mean_over_windows,0.04393742225051821,False
city_steer_min_std_over_windows,0.014841899950257907,False
city_steer_max_mean_over_windows,0.23359533235971391,False
city_steer_max_std_over_windows,0.07215027556057571,False
city_steer_median_mean_over_windows,0.06840352375093223,False
city_steer_median_std_over_windows,0.06583135321908462,False
city_steer_q25_mean_over_windows,0.02875343963191556,False
city_steer_q25_std_over_windows,0.0835470019813265,False
city_steer_q75_mean_over_windows,0.044410527296900384,False
city_steer_q75_std_over_windows,0.05231417593355625,False
city_throttle_mean_mean_over_windows,0.024377962778269056,False
city_throttle_mean_std_over_windows,0.010851733866920087,False
city_throttle_std_mean_over_windows,0.01834266790312849,False
city_throttle_std_std_over_windows,0.06853355454716259,False
city_throttle_min_mean_over_windows,0.02934631455655487,False
city_throttle_min_std_over_windows,0.0018814015561519483,True
city_throttle_max_mean_over_windows,0.0,True
city_throttle_max_std_over_windows,0.0,True
city_throttle_median_mean_over_windows,0.12728131300806753,False
city_throttle_median_std_over_windows,0.15535661365698722,False
city_throttle_q25_mean_over_windows,0.026217597441166696,False
city_throttle_q25_std_over_windows,0.045173461438354205,False
city_throttle_q75_mean_over_windows,0.12510722794470705,False
city_throttle_q75_std_over_windows,0.14906333448191314,False
city_brake_mean_mean_over_windows,0.06608068046625673,False
city_brake_mean_std_over_windows,0.06693475120586151,False
city_brake_std_mean_over_windows,0.06657148960345008,False
city_brake_std_std_over_windows,0.007642109147451858,True
city_brake_min_mean_over_windows,0.08502519107263767,False
city_brake_min_std_over_windows,0.010256440358032776,False
city_brake_max_mean_over_windows,0.08695652173913042,False
city_brake_max_std_over_windows,0.0869565217391304,False
city_brake_median_mean_over_windows,0.11038612656502535,False
city_brake_median_std_over_windows,0.14397232156618217,False
city_brake_q25_mean_over_windows,0.02971311334220347,False
city_brake_q25_std_over_windows,0.03992462634791774,False
city_brake_q75_mean_over_windows,0.06916307219958719,False
city_brake_q75_std_over_windows,0.046504209955414155,False
city_steer_abs_mean_mean_over_windows,0.010100850374839942,False
city_steer_abs_mean_std_over_windows,0.010972471648745286,False
city_steer_abs_std_mean_over_windows,0.08399007974786157,False
city_steer_abs_std_std_over_windows,0.04653737221817869,False
city_steer_pos_ratio_mean_over_windows,0.07778669628723396,False
city_steer_pos_ratio_std_over_windows,0.1859472112311239,False
city_steer_neg_ratio_mean_over_windows,0.07754984052139258,False
city_steer_neg_ratio_std_over_windows,0.1837792961928621,False
city_steer_zero_ratio_mean_over_windows,0.13977446586727194,False
city_steer_zero_ratio_std_over_windows,0.20883688588177884,False
city_steer_signchange_rate_mean_over_windows,0.09688053756651833,False
city_steer_signchange_rate_std_over_windows,0.030146989757274176,False
city_throttle_active_ratio_mean_over_windows,0.024636214024803413,False
city_throttle_active_ratio_std_over_windows,0.015044005356397046,False
city_throttle_zero_ratio_mean_over_windows,0.004275827768209551,True
city_throttle_zero_ratio_std_over_windows,0.016212101853771855,False
city_throttle_active_mean_mean_over_windows,0.02793741867990681,False
city_throttle_active_mean_std_over_windows,0.02083343092052147,False
city_throttle_active_std_mean_over_windows,0.01876529925214839,False
city_throttle_active_std_std_over_windows,0.19886207594067468,False
city_brake_active_ratio_mean_over_windows,0.03629582287140933,False
city_brake_active_ratio_std_over_windows,0.017899961180665114,False
city_brake_zero_ratio_mean_over_windows,0.103176689993962,False
city_brake_zero_ratio_std_over_windows,0.06176612509591273,False
city_brake_active_mean_mean_over_windows,0.1810541285499932,False
city_brake_active_mean_std_over_windows,0.16395473304786323,False
city_brake_active_std_mean_over_windows,0.09879068299151879,False
city_brake_active_std_std_over_windows,0.11190946011988157,False
city_steer_diff_mean_mean_over_windows,0.10584352530737438,False
city_steer_diff_mean_std_over_windows,0.17750150482578947,False
city_steer_diff_std_mean_over_windows,0.1560579262864249,False
city_steer_diff_std_std_over_windows,0.2228506075467856,False
city_steer_diff_abs_mean_mean_over_windows,0.12380003712665524,False
city_steer_diff_abs_mean_std_over_windows,0.045291736507840324,False
city_throttle_diff_mean_mean_over_windows,0.0937081253482593,False
city_throttle_diff_mean_std_over_windows,0.08893525576860214,False
city_throttle_diff_std_mean_over_windows,0.07581097587609312,False
city_throttle_diff_std_std_over_windows,0.147558245610175,False
city_throttle_diff_abs_mean_mean_over_windows,0.0636066892623553,False
city_throttle_diff_abs_mean_std_over_windows,0.09827510122961453,False
city_brake_diff_mean_mean_over_windows,0.10885976850727744,False
city_brake_diff_mean_std_over_windows,0.021537751898331587,False
city_brake_diff_std_mean_over_windows,0.051408953535650614,False
city_brake_diff_std_std_over_windows,0.023237516889058358,False
