feature,between_class_var,dropped
highway_throttle_mean_mean_over_windows,0.0018498920089833773,True
highway_throttle_mean_std_over_windows,0.016277463901910098,False
highway_throttle_std_mean_over_windows,0.017516662842997424,False
highway_throttle_std_std_over_windows,0.055281871875549636,False
highway_throttle_min_mean_over_windows,0.016249008241163126,False
highway_throttle_min_std_over_windows,0.0270417390107537,False
highway_throttle_max_mean_over_windows,0.0,True
highway_throttle_max_std_over_windows,0.0,True
highway_throttle_median_mean_over_windows,0.05025551077857239,False
highway_throttle_median_std_over_windows,0.07023038016630603,False
highway_throttle_q25_mean_over_windows,0.00045103065604686283,True
highway_throttle_q25_std_over_windows,0.0170544864823373,False
highway_throttle_q75_mean_over_windows,0.024462495808647292,False
highway_throttle_q75_std_over_windows,0.02144635418375476,False
highway_brake_mean_mean_over_windows,0.15849918334468024,False
highway_brake_mean_std_over_windows,0.166067515707996,False
highway_brake_std_mean_over_windows,0.06985774971338192,False
highway_brake_std_std_over_windows,0.0608896812096351,False
highway_brake_min_mean_over_windows,0.0506449477986912,False
highway_brake_min_std_over_windows,0.02148847723829438,False
highway_brake_max_mean_over_windows,0.15661746730159412,False
highway_brake_max_std_over_windows,0.15661746730159412,False
highway_brake_median_mean_over_windows,0.07996074570726663,False
highway_brake_median_std_over_windows,0.0805437401227096,False
highway_brake_q25_mean_over_windows,0.23149400023885175,False
highway_brake_q25_std_over_windows,0.20559114330810124,False
highway_brake_q75_mean_over_windows,0.07827586174608073,False
highway_brake_q75_std_over_windows,0.0621692342682192,False
highway_steer_abs_mean_mean_over_windows,0.023657509241884197,False
highway_steer_abs_mean_std_over_windows,0.03210829892236019,False
highway_steer_abs_std_mean_over_windows,0.05693399917014001,False
highway_steer_abs_std_std_over_windows,0.10018376460808609,False
highway_steer_pos_ratio_mean_over_windows,0.1741504083453266,False
highway_steer_pos_ratio_std_over_windows,0.0044802789238790434,True
highway_steer_neg_ratio_mean_over_windows,0.1745286053645321,False
highway_steer_neg_ratio_std_over_windows,0.004586887438563392,True
highway_steer_zero_ratio_mean_over_windows,0.03577829417057628,False
highway_steer_zero_ratio_std_over_windows,0.03398302105539692,False
highway_steer_signchange_rate_mean_over_windows,0.004326089755902659,True
highway_steer_signchange_rate_std_over_windows,0.6159773156787075,False
highway_throttle_active_ratio_mean_over_windows,0.006039350107558117,True
highway_throttle_active_ratio_std_over_windows,0.050708325210680597,False
highway_throttle_zero_ratio_mean_over_windows,0.03012483772162611,False
highway_throttle_zero_ratio_std_over_windows,0.05487729795343823,False
highway_throttle_active_mean_mean_over_windows,0.04994958502250501,False
highway_throttle_active_mean_std_over_windows,0.02656243854070468,False
highway_throttle_active_std_mean_over_windows,0.011787718252083208,False
highway_throttle_active_std_std_over_windows,0.06028935286373084,False
highway_brake_active_ratio_mean_over_windows,0.15556443426963829,False
highway_brake_active_ratio_std_over_windows,0.18350103005008123,False
highway_brake_zero_ratio_mean_over_windows,0.05341010879988498,False
highway_brake_zero_ratio_std_over_windows,0.07684401674574735,False
highway_brake_active_mean_mean_over_windows,0.04518026714568101,False
highway_brake_active_mean_std_over_windows,0.006235895244656132,True
highway_brake_active_std_mean_over_windows,0.16452552860288133,False
highway_brake_active_std_std_over_windows,0.039057152205067,False
highway_steer_diff_mean_mean_over_windows,0.004993260936077637,True
highway_steer_diff_mean_std_over_windows,0.00824358310535281,True
highway_steer_diff_std_mean_over_windows,0.03791131486079901,False
highway_steer_diff_std_std_over_windows,0.02389785566482304,False
highway_steer_diff_abs_mean_mean_over_windows,0.03300960169486772,False
highway_steer_diff_abs_mean_std_over_windows,0.007073823484655082,True
highway_throttle_diff_mean_mean_over_windows,0.02353299180553435,False
highway_throttle_diff_mean_std_over_windows,0.0345117494327387,False
highway_throttle_diff_std_mean_over_windows,0.03644381774997391,False
highway_throttle_diff_std_std_over_windows,0.03893706737702227,False
highway_throttle_diff_abs_mean_mean_over_windows,0.057146647674639776,False
highway_throttle_diff_abs_mean_std_over_windows,0.03708284670332235,False
highway_brake_diff_mean_mean_over_windows,0.2016291557839565,False
highway_brake_diff_mean_std_over_windows,0.11828806559939861,False
highway_brake_diff_std_mean_over_windows,0.023200708991202225,False
highway_brake_diff_std_std_over_windows,0.10209208977718454,False
highway_brake_diff_abs_mean_mean_over_windows,0.060694799652106037,False
highway_brake_diff_abs_mean_std_over_windows,0.14164993114917349,False
