feature_dropped,feature_kept,corr_value,between_class_var_dropped,between_class_var_kept
city_n_samples_std_over_windows,city_n_samples_mean_over_windows,-0.9864452517722332,0.0371781783780647,0.0547695134203168
city_n_samples_mean_over_windows,city_duration_sec_mean_over_windows,0.9996241725375146,0.0547695134203168,0.0548736255577967
city_duration_sec_std_over_windows,city_duration_sec_mean_over_windows,-0.9875687326430757,0.0372046070290761,0.0548736255577967
city_steer_std_mean_over_windows,city_steer_abs_std_mean_over_windows,0.9728503459755294,0.0650828820490859,0.1011141888579079
city_steer_q25_mean_over_windows,city_steer_q25_std_over_windows,-0.9596830482584634,0.1036518449239946,0.1347700944834201
city_steer_q75_mean_over_windows,city_steer_q75_std_over_windows,0.9632199689829531,0.032560436502117,0.0784522842400962
city_throttle_mean_mean_over_windows,city_throttle_q25_mean_over_windows,0.915447250318907,0.0300867787222386,0.0763438056078635
city_throttle_mean_std_over_windows,city_throttle_active_mean_std_over_windows,0.9648270073765821,0.0105654295594657,0.0150991023568642
city_throttle_std_mean_over_windows,city_throttle_active_std_mean_over_windows,0.9783165632087004,0.0323168313940499,0.0383266179752047
city_throttle_median_std_over_windows,city_throttle_median_mean_over_windows,-0.9566678102294891,0.1442575445795365,0.1473521765443875
city_throttle_active_mean_mean_over_windows,city_throttle_q25_mean_over_windows,0.9346878828943521,0.0329118478462017,0.0763438056078635
city_throttle_q75_std_over_windows,city_throttle_q75_mean_over_windows,-1.0000000000000004,0.0260869565217391,0.0260869565217391
city_brake_std_mean_over_windows,city_brake_mean_mean_over_windows,-0.9782025571173838,0.0760675110420202,0.0847186329890879
city_brake_mean_mean_over_windows,city_brake_q25_mean_over_windows,0.9369546205165523,0.0847186329890879,0.1167555056088268
city_brake_mean_std_over_windows,city_brake_q25_std_over_windows,0.9032069938593501,0.1185403494917992,0.1674617367947137
city_brake_median_std_over_windows,city_brake_median_mean_over_windows,-0.9876390495886888,0.2139652984588842,0.2563119267320153
city_brake_q25_mean_over_windows,city_brake_q25_std_over_windows,-0.9095309123439839,0.1167555056088268,0.1674617367947137
city_brake_q75_std_over_windows,city_brake_q75_mean_over_windows,-1.0,1.0000000000000002,1.0000000000000002
city_steer_neg_ratio_mean_over_windows,city_steer_pos_ratio_mean_over_windows,-0.9999976195415022,0.0929649615509738,0.0931668174109525
city_steer_pos_ratio_std_over_windows,city_steer_neg_ratio_std_over_windows,0.9999902214511417,0.1380393192610274,0.1381714572944149
city_steer_zero_ratio_mean_over_windows,city_steer_zero_ratio_std_over_windows,0.9875667040436973,0.1584548861551201,0.2222859925431119
city_throttle_active_ratio_std_over_windows,city_throttle_active_ratio_mean_over_windows,-0.9588473008803097,0.0111339043939781,0.0241588448311721
city_brake_zero_ratio_std_over_windows,city_brake_zero_ratio_mean_over_windows,0.9585899280797834,0.0904411816090332,0.1235068408237323
city_throttle_diff_mean_mean_over_windows,city_throttle_diff_mean_std_over_windows,0.9977380368167715,0.0978846245676306,0.1006092779073511
city_throttle_diff_mean_std_over_windows,city_throttle_diff_std_std_over_windows,0.9346935055229053,0.1006092779073511,0.1178692351511555
city_throttle_diff_abs_mean_mean_over_windows,city_throttle_diff_std_mean_over_windows,0.9313144422581908,0.0728796991451556,0.1062622869188122
city_brake_diff_mean_mean_over_windows,city_brake_diff_mean_std_over_windows,-0.9754198871827108,0.0957885879478672,0.1042354890813599
city_brake_diff_abs_mean_mean_over_windows,city_brake_diff_std_mean_over_windows,0.9263317003544451,0.0568874388405743,0.0646459154558963
highway_n_samples_mean_over_windows,highway_n_samples_std_over_windows,-0.9833351195805632,0.1227515384820771,0.1320091216431394
highway_duration_sec_mean_over_windows,highway_n_samples_std_over_windows,-0.9826532914315215,0.1227669493624203,0.1320091216431394
highway_duration_sec_std_over_windows,highway_n_samples_std_over_windows,0.9999964961203187,0.1316515198048126,0.1320091216431394
highway_steer_mean_mean_over_windows,highway_steer_median_mean_over_windows,0.9021133580962329,0.0275544459829296,0.0290987342963119
highway_steer_abs_mean_mean_over_windows,highway_steer_std_mean_over_windows,0.9209304260502091,0.0236575092418841,0.0589110829511668
highway_steer_abs_std_mean_over_windows,highway_steer_std_mean_over_windows,0.9912045017981868,0.05693399917014,0.0589110829511668
highway_steer_std_std_over_windows,highway_steer_abs_std_std_over_windows,0.9846122687619698,0.0998460675751073,0.100183764608086
highway_steer_diff_std_mean_over_windows,highway_steer_max_mean_over_windows,0.9257504712478176,0.037911314860799,0.0521091557474079
highway_steer_q25_mean_over_windows,highway_steer_median_mean_over_windows,0.9105278970084073,0.01256756524433,0.0290987342963119
highway_steer_q25_std_over_windows,highway_steer_abs_mean_std_over_windows,0.9198976081338728,0.0130430028070137,0.0321082989223601
highway_throttle_min_mean_over_windows,highway_throttle_std_mean_over_windows,-0.9236361926948579,0.0162490082411631,0.0175166628429974
highway_throttle_median_mean_over_windows,highway_throttle_median_std_over_windows,-0.9256619962169647,0.0502555107785723,0.070230380166306
highway_throttle_q75_std_over_windows,highway_throttle_q75_mean_over_windows,-0.9965472327520759,0.0214463541837547,0.0244624958086472
highway_brake_diff_std_mean_over_windows,highway_brake_min_mean_over_windows,-0.9093082251042365,0.0232007089912022,0.0506449477986912
highway_brake_max_std_over_windows,highway_brake_max_mean_over_windows,-0.9999999999999997,0.1566174673015941,0.1566174673015941
highway_brake_median_mean_over_windows,highway_brake_median_std_over_windows,-0.9804254733038483,0.0799607457072666,0.0805437401227096
highway_brake_q75_std_over_windows,highway_brake_q75_mean_over_windows,-0.9963281979384875,0.0621692342682192,0.0782758617460807
highway_steer_pos_ratio_mean_over_windows,highway_steer_neg_ratio_mean_over_windows,-0.9999970557573982,0.1741504083453266,0.1745286053645321
highway_steer_zero_ratio_std_over_windows,highway_steer_zero_ratio_mean_over_windows,0.9961112264869968,0.0339830210553969,0.0357782941705762
highway_throttle_zero_ratio_mean_over_windows,highway_throttle_zero_ratio_std_over_windows,0.9727856002407285,0.0301248377216261,0.0548772979534382
highway_brake_zero_ratio_mean_over_windows,highway_brake_zero_ratio_std_over_windows,0.9487727219497637,0.0534101087998849,0.0768440167457473
highway_throttle_diff_mean_mean_over_windows,highway_throttle_diff_mean_std_over_windows,0.9480410087801437,0.0235329918055343,0.0345117494327387
highway_throttle_diff_std_mean_over_windows,highway_throttle_diff_abs_mean_mean_over_windows,0.9336447563022291,0.0364438177499739,0.0571466476746397
highway_throttle_diff_abs_mean_std_over_windows,highway_throttle_diff_abs_mean_mean_over_windows,0.9191673515638589,0.0370828467033223,0.0571466476746397
