时间戳 = 1753478995.668000  方向盘角度 = 0  油门 = 0  刹车 = 0
时间戳 = 1753478995.714000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478995.762000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478995.809000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478995.856000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478995.903000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478995.950000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478995.997000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.044000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.092000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.139000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.186000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.231000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.276000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.323000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.369000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.416000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.463000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.509000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.557000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.603000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.650000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.696000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.744000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.789000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.835000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.880000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.928000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478996.974000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478997.020000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478997.067000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478997.115000  方向盘角度 = -240  油门 = 32767  刹车 = 32767
时间戳 = 1753478997.161000  方向盘角度 = -241  油门 = 32767  刹车 = 32767
