时间戳 = 1753454928.540000  方向盘角度 = 0  油门 = 0  刹车 = 0
时间戳 = 1753454928.586000  方向盘角度 = 482  油门 = 31467  刹车 = 32767
时间戳 = 1753454928.634000  方向盘角度 = 486  油门 = 31467  刹车 = 32767
时间戳 = 1753454928.679000  方向盘角度 = 488  油门 = 31467  刹车 = 32767
时间戳 = 1753454928.726000  方向盘角度 = 493  油门 = 31467  刹车 = 32767
时间戳 = 1753454928.772000  方向盘角度 = 494  油门 = 31467  刹车 = 32767
时间戳 = 1753454928.820000  方向盘角度 = 494  油门 = 31467  刹车 = 32767
时间戳 = 1753454928.868000  方向盘角度 = 494  油门 = 31467  刹车 = 32767
时间戳 = 1753454928.914000  方向盘角度 = 494  油门 = 31467  刹车 = 32767
时间戳 = 1753454928.962000  方向盘角度 = 494  油门 = 31467  刹车 = 32767
时间戳 = 1753454929.008000  方向盘角度 = 494  油门 = 31467  刹车 = 32767
时间戳 = 1753454929.056000  方向盘角度 = 493  油门 = 31467  刹车 = 32767
时间戳 = 1753454929.103000  方向盘角度 = 489  油门 = 31467  刹车 = 32767
时间戳 = 1753454929.149000  方向盘角度 = 489  油门 = 31467  刹车 = 32767
时间戳 = 1753454929.196000  方向盘角度 = 489  油门 = 31727  刹车 = 32767
时间戳 = 1753454929.242000  方向盘角度 = 489  油门 = 31987  刹车 = 32767
时间戳 = 1753454929.278000  方向盘角度 = 489  油门 = 31987  刹车 = 32767
时间戳 = 1753454929.320000  方向盘角度 = 488  油门 = 31987  刹车 = 32767
时间戳 = 1753454929.365000  方向盘角度 = 487  油门 = 31987  刹车 = 32767
时间戳 = 1753454929.413000  方向盘角度 = 481  油门 = 32247  刹车 = 32767
时间戳 = 1753454929.461000  方向盘角度 = 476  油门 = 32247  刹车 = 32767
时间戳 = 1753454929.508000  方向盘角度 = 469  油门 = 32767  刹车 = 32767
时间戳 = 1753454929.555000  方向盘角度 = 461  油门 = 32767  刹车 = 32767
时间戳 = 1753454929.602000  方向盘角度 = 449  油门 = 32767  刹车 = 32767
时间戳 = 1753454929.650000  方向盘角度 = 436  油门 = 32767  刹车 = 32767
时间戳 = 1753454929.695000  方向盘角度 = 430  油门 = 32767  刹车 = 32767
时间戳 = 1753454929.741000  方向盘角度 = 427  油门 = 32767  刹车 = 32767
时间戳 = 1753454929.787000  方向盘角度 = 421  油门 = 32767  刹车 = 32767
时间戳 = 1753454929.834000  方向盘角度 = 414  油门 = 32767  刹车 = 32767
时间戳 = 1753454929.882000  方向盘角度 = 376  油门 = 32767  刹车 = 32767
时间戳 = 1753454929.930000  方向盘角度 = 343  油门 = 32767  刹车 = 32767
时间戳 = 1753454929.977000  方向盘角度 = 330  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.024000  方向盘角度 = 330  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.071000  方向盘角度 = 323  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.118000  方向盘角度 = 297  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.166000  方向盘角度 = 265  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.213000  方向盘角度 = 261  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.261000  方向盘角度 = 261  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.307000  方向盘角度 = 277  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.354000  方向盘角度 = 305  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.402000  方向盘角度 = 344  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.448000  方向盘角度 = 401  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.495000  方向盘角度 = 463  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.542000  方向盘角度 = 552  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.588000  方向盘角度 = 626  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.636000  方向盘角度 = 657  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.684000  方向盘角度 = 658  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.729000  方向盘角度 = 658  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.777000  方向盘角度 = 658  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.824000  方向盘角度 = 658  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.871000  方向盘角度 = 670  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.918000  方向盘角度 = 698  油门 = 32767  刹车 = 32767
时间戳 = 1753454930.966000  方向盘角度 = 755  油门 = 32767  刹车 = 32767
时间戳 = 1753454931.014000  方向盘角度 = 782  油门 = 32767  刹车 = 32767
时间戳 = 1753454931.062000  方向盘角度 = 772  油门 = 32247  刹车 = 32767
时间戳 = 1753454931.110000  方向盘角度 = 751  油门 = 31987  刹车 = 32767
时间戳 = 1753454931.156000  方向盘角度 = 732  油门 = 31987  刹车 = 32767
时间戳 = 1753454931.203000  方向盘角度 = 723  油门 = 31727  刹车 = 32767
时间戳 = 1753454931.250000  方向盘角度 = 711  油门 = 31727  刹车 = 32767
时间戳 = 1753454931.295000  方向盘角度 = 705  油门 = 31727  刹车 = 32767
时间戳 = 1753454931.343000  方向盘角度 = 697  油门 = 31727  刹车 = 32767
时间戳 = 1753454931.391000  方向盘角度 = 678  油门 = 32247  刹车 = 32767
时间戳 = 1753454931.439000  方向盘角度 = 663  油门 = 32247  刹车 = 32767
时间戳 = 1753454931.487000  方向盘角度 = 646  油门 = 32247  刹车 = 32767
时间戳 = 1753454931.534000  方向盘角度 = 633  油门 = 32767  刹车 = 32767
时间戳 = 1753454931.581000  方向盘角度 = 619  油门 = 32767  刹车 = 32767
时间戳 = 1753454931.629000  方向盘角度 = 614  油门 = 32767  刹车 = 32767
时间戳 = 1753454931.677000  方向盘角度 = 614  油门 = 32767  刹车 = 32767
时间戳 = 1753454931.724000  方向盘角度 = 614  油门 = 32767  刹车 = 32767
时间戳 = 1753454931.770000  方向盘角度 = 614  油门 = 32767  刹车 = 32767
时间戳 = 1753454931.816000  方向盘角度 = 614  油门 = 32767  刹车 = 32767
时间戳 = 1753454931.864000  方向盘角度 = 614  油门 = 32767  刹车 = 32767
时间戳 = 1753454931.912000  方向盘角度 = 614  油门 = 32767  刹车 = 32767
时间戳 = 1753454931.960000  方向盘角度 = 617  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.005000  方向盘角度 = 617  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.052000  方向盘角度 = 618  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.099000  方向盘角度 = 620  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.146000  方向盘角度 = 624  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.193000  方向盘角度 = 624  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.240000  方向盘角度 = 625  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.286000  方向盘角度 = 625  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.332000  方向盘角度 = 625  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.379000  方向盘角度 = 627  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.427000  方向盘角度 = 632  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.475000  方向盘角度 = 634  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.522000  方向盘角度 = 637  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.569000  方向盘角度 = 637  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.616000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.664000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.712000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.758000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.805000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.852000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.897000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.943000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454932.991000  方向盘角度 = 639  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.038000  方向盘角度 = 639  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.085000  方向盘角度 = 639  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.132000  方向盘角度 = 639  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.179000  方向盘角度 = 639  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.225000  方向盘角度 = 639  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.274000  方向盘角度 = 639  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.320000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.366000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.413000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.460000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.507000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.555000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.602000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.650000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.696000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.743000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.790000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.835000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.882000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.929000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454933.975000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1753454934.023000  方向盘角度 = 637  油门 = 32767  刹车 = 32767
时间戳 = 1753454934.070000  方向盘角度 = 634  油门 = 32767  刹车 = 32767
时间戳 = 1753454934.117000  方向盘角度 = 634  油门 = 32767  刹车 = 32767
时间戳 = 1753454934.164000  方向盘角度 = 634  油门 = 32767  刹车 = 32767
时间戳 = 1753454934.212000  方向盘角度 = 634  油门 = 32767  刹车 = 32767
时间戳 = 1753454934.259000  方向盘角度 = 634  油门 = 32767  刹车 = 32767
时间戳 = 1753454934.305000  方向盘角度 = 634  油门 = 32767  刹车 = 32767
时间戳 = 1753454934.352000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
