时间戳 = 1723539961.701000  方向盘角度 = 0  油门 = 0  刹车 = 0
时间戳 = 1723539961.746000  方向盘角度 = -346  油门 = 32767  刹车 = -7936
时间戳 = 1723539961.794000  方向盘角度 = -346  油门 = 32767  刹车 = -7936
时间戳 = 1723539961.842000  方向盘角度 = -346  油门 = 32767  刹车 = -7936
时间戳 = 1723539961.889000  方向盘角度 = -346  油门 = 32767  刹车 = -7680
时间戳 = 1723539961.937000  方向盘角度 = -346  油门 = 32767  刹车 = -7680
时间戳 = 1723539961.983000  方向盘角度 = -346  油门 = 32767  刹车 = -7680
时间戳 = 1723539962.029000  方向盘角度 = -346  油门 = 32767  刹车 = -7680
时间戳 = 1723539962.075000  方向盘角度 = -346  油门 = 32767  刹车 = -7424
时间戳 = 1723539962.123000  方向盘角度 = -346  油门 = 32767  刹车 = -7424
时间戳 = 1723539962.170000  方向盘角度 = -346  油门 = 32767  刹车 = -7424
时间戳 = 1723539962.217000  方向盘角度 = -346  油门 = 32767  刹车 = -7168
时间戳 = 1723539962.263000  方向盘角度 = -346  油门 = 32767  刹车 = -7168
时间戳 = 1723539962.309000  方向盘角度 = -346  油门 = 32767  刹车 = -7168
时间戳 = 1723539962.357000  方向盘角度 = -346  油门 = 32767  刹车 = -6912
时间戳 = 1723539962.402000  方向盘角度 = -346  油门 = 32767  刹车 = -6912
时间戳 = 1723539962.450000  方向盘角度 = -346  油门 = 32767  刹车 = -6912
时间戳 = 1723539962.498000  方向盘角度 = -346  油门 = 32767  刹车 = -6912
时间戳 = 1723539962.544000  方向盘角度 = -346  油门 = 32767  刹车 = -6912
时间戳 = 1723539962.592000  方向盘角度 = -351  油门 = 32767  刹车 = -6912
时间戳 = 1723539962.637000  方向盘角度 = -359  油门 = 32767  刹车 = -6912
时间戳 = 1723539962.684000  方向盘角度 = -359  油门 = 32767  刹车 = -7424
时间戳 = 1723539962.730000  方向盘角度 = -358  油门 = 32767  刹车 = -7424
时间戳 = 1723539962.776000  方向盘角度 = -358  油门 = 32767  刹车 = -7424
时间戳 = 1723539962.824000  方向盘角度 = -358  油门 = 32767  刹车 = -7424
时间戳 = 1723539962.872000  方向盘角度 = -358  油门 = 32767  刹车 = -7424
时间戳 = 1723539962.918000  方向盘角度 = -357  油门 = 32767  刹车 = -7424
时间戳 = 1723539962.965000  方向盘角度 = -353  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.013000  方向盘角度 = -353  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.058000  方向盘角度 = -353  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.105000  方向盘角度 = -347  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.151000  方向盘角度 = -345  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.198000  方向盘角度 = -339  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.245000  方向盘角度 = -339  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.292000  方向盘角度 = -339  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.338000  方向盘角度 = -339  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.386000  方向盘角度 = -339  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.434000  方向盘角度 = -339  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.481000  方向盘角度 = -339  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.528000  方向盘角度 = -339  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.574000  方向盘角度 = -339  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.622000  方向盘角度 = -339  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.670000  方向盘角度 = -339  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.716000  方向盘角度 = -339  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.763000  方向盘角度 = -339  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.810000  方向盘角度 = -339  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.856000  方向盘角度 = -338  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.903000  方向盘角度 = -331  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.950000  方向盘角度 = -326  油门 = 32767  刹车 = -7424
时间戳 = 1723539963.995000  方向盘角度 = -326  油门 = 32767  刹车 = -7424
时间戳 = 1723539964.042000  方向盘角度 = -326  油门 = 32767  刹车 = -7424
时间戳 = 1723539964.088000  方向盘角度 = -326  油门 = 32767  刹车 = -7424
时间戳 = 1723539964.136000  方向盘角度 = -326  油门 = 32767  刹车 = -7424
时间戳 = 1723539964.184000  方向盘角度 = -326  油门 = 32767  刹车 = -7424
时间戳 = 1723539964.230000  方向盘角度 = -326  油门 = 32767  刹车 = -7424
时间戳 = 1723539964.277000  方向盘角度 = -326  油门 = 32767  刹车 = -7680
时间戳 = 1723539964.325000  方向盘角度 = -326  油门 = 32767  刹车 = -7680
时间戳 = 1723539964.371000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539964.418000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539964.466000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539964.514000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539964.560000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539964.607000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539964.654000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539964.701000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539964.747000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539964.795000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539964.842000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539964.887000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539964.932000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539964.979000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539965.027000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539965.073000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539965.121000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539965.167000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539965.213000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539965.260000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539965.307000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539965.355000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539965.401000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539965.449000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
时间戳 = 1723539965.496000  方向盘角度 = -326  油门 = 32767  刹车 = -7168
