时间戳 = 1723555186.549000  方向盘角度 = 0  油门 = 0  刹车 = 0
时间戳 = 1723555186.594000  方向盘角度 = 330  油门 = 32767  刹车 = -5376
时间戳 = 1723555186.641000  方向盘角度 = 317  油门 = 32767  刹车 = -4864
时间戳 = 1723555186.687000  方向盘角度 = 312  油门 = 32767  刹车 = -4864
时间戳 = 1723555186.733000  方向盘角度 = 312  油门 = 32767  刹车 = -4864
时间戳 = 1723555186.781000  方向盘角度 = 316  油门 = 32767  刹车 = -4864
时间戳 = 1723555186.829000  方向盘角度 = 299  油门 = 32767  刹车 = -4608
时间戳 = 1723555186.877000  方向盘角度 = 299  油门 = 32767  刹车 = -4352
时间戳 = 1723555186.921000  方向盘角度 = 305  油门 = 32767  刹车 = -3840
时间戳 = 1723555186.970000  方向盘角度 = 306  油门 = 32767  刹车 = -3584
时间戳 = 1723555187.016000  方向盘角度 = 310  油门 = 32767  刹车 = -3328
时间戳 = 1723555187.063000  方向盘角度 = 323  油门 = 32767  刹车 = -3072
时间戳 = 1723555187.112000  方向盘角度 = 356  油门 = 32767  刹车 = -3072
时间戳 = 1723555187.156000  方向盘角度 = 421  油门 = 32767  刹车 = -3072
时间戳 = 1723555187.204000  方向盘角度 = 473  油门 = 32767  刹车 = -3072
时间戳 = 1723555187.252000  方向盘角度 = 495  油门 = 32767  刹车 = -3072
时间戳 = 1723555187.288000  方向盘角度 = 521  油门 = 32767  刹车 = -3072
时间戳 = 1723555187.331000  方向盘角度 = 527  油门 = 32767  刹车 = -3072
时间戳 = 1723555187.378000  方向盘角度 = 527  油门 = 32767  刹车 = -3072
时间戳 = 1723555187.424000  方向盘角度 = 527  油门 = 32767  刹车 = -3072
时间戳 = 1723555187.471000  方向盘角度 = 526  油门 = 32767  刹车 = -2816
时间戳 = 1723555187.516000  方向盘角度 = 522  油门 = 32767  刹车 = -2816
时间戳 = 1723555187.561000  方向盘角度 = 508  油门 = 32767  刹车 = -2560
时间戳 = 1723555187.608000  方向盘角度 = 508  油门 = 32767  刹车 = -2560
时间戳 = 1723555187.653000  方向盘角度 = 506  油门 = 32767  刹车 = -2560
时间戳 = 1723555187.701000  方向盘角度 = 502  油门 = 32767  刹车 = -2560
时间戳 = 1723555187.748000  方向盘角度 = 509  油门 = 32767  刹车 = -2304
时间戳 = 1723555187.795000  方向盘角度 = 507  油门 = 32767  刹车 = -2304
时间戳 = 1723555187.841000  方向盘角度 = 506  油门 = 32767  刹车 = -2304
时间戳 = 1723555187.888000  方向盘角度 = 506  油门 = 32767  刹车 = -2304
时间戳 = 1723555187.935000  方向盘角度 = 506  油门 = 32767  刹车 = -2304
时间戳 = 1723555187.983000  方向盘角度 = 506  油门 = 32767  刹车 = -2304
时间戳 = 1723555188.028000  方向盘角度 = 506  油门 = 32767  刹车 = -2304
时间戳 = 1723555188.076000  方向盘角度 = 501  油门 = 32767  刹车 = -2304
时间戳 = 1723555188.123000  方向盘角度 = 501  油门 = 32767  刹车 = -2304
时间戳 = 1723555188.169000  方向盘角度 = 496  油门 = 32767  刹车 = -2304
时间戳 = 1723555188.216000  方向盘角度 = 489  油门 = 32767  刹车 = -2304
时间戳 = 1723555188.263000  方向盘角度 = 481  油门 = 32767  刹车 = -2304
时间戳 = 1723555188.310000  方向盘角度 = 473  油门 = 32767  刹车 = -2304
时间戳 = 1723555188.357000  方向盘角度 = 473  油门 = 32767  刹车 = -2304
时间戳 = 1723555188.403000  方向盘角度 = 470  油门 = 32767  刹车 = -2304
时间戳 = 1723555188.450000  方向盘角度 = 470  油门 = 32767  刹车 = -2304
时间戳 = 1723555188.496000  方向盘角度 = 475  油门 = 32767  刹车 = -2048
时间戳 = 1723555188.543000  方向盘角度 = 482  油门 = 32767  刹车 = -2048
时间戳 = 1723555188.588000  方向盘角度 = 495  油门 = 32767  刹车 = -2048
时间戳 = 1723555188.635000  方向盘角度 = 514  油门 = 32767  刹车 = -2048
时间戳 = 1723555188.682000  方向盘角度 = 532  油门 = 32767  刹车 = -2048
时间戳 = 1723555188.730000  方向盘角度 = 533  油门 = 32767  刹车 = -2048
时间戳 = 1723555188.779000  方向盘角度 = 533  油门 = 32767  刹车 = -2048
时间戳 = 1723555188.839000  方向盘角度 = 533  油门 = 32767  刹车 = -2048
时间戳 = 1723555188.885000  方向盘角度 = 534  油门 = 32767  刹车 = -2048
时间戳 = 1723555188.933000  方向盘角度 = 534  油门 = 32767  刹车 = -2048
时间戳 = 1723555188.981000  方向盘角度 = 534  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.026000  方向盘角度 = 533  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.074000  方向盘角度 = 532  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.122000  方向盘角度 = 532  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.170000  方向盘角度 = 532  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.217000  方向盘角度 = 532  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.265000  方向盘角度 = 532  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.313000  方向盘角度 = 532  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.362000  方向盘角度 = 532  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.407000  方向盘角度 = 529  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.454000  方向盘角度 = 527  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.502000  方向盘角度 = 526  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.549000  方向盘角度 = 522  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.596000  方向盘角度 = 522  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.643000  方向盘角度 = 522  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.690000  方向盘角度 = 522  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.737000  方向盘角度 = 522  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.784000  方向盘角度 = 522  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.832000  方向盘角度 = 522  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.879000  方向盘角度 = 522  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.925000  方向盘角度 = 522  油门 = 32767  刹车 = -2048
时间戳 = 1723555189.970000  方向盘角度 = 522  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.018000  方向盘角度 = 522  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.063000  方向盘角度 = 521  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.111000  方向盘角度 = 514  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.158000  方向盘角度 = 514  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.204000  方向盘角度 = 512  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.252000  方向盘角度 = 508  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.299000  方向盘角度 = 508  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.344000  方向盘角度 = 508  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.392000  方向盘角度 = 508  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.438000  方向盘角度 = 507  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.486000  方向盘角度 = 506  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.533000  方向盘角度 = 506  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.580000  方向盘角度 = 506  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.627000  方向盘角度 = 506  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.672000  方向盘角度 = 506  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.718000  方向盘角度 = 501  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.765000  方向盘角度 = 489  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.813000  方向盘角度 = 489  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.860000  方向盘角度 = 489  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.907000  方向盘角度 = 489  油门 = 32767  刹车 = -2048
时间戳 = 1723555190.955000  方向盘角度 = 489  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.001000  方向盘角度 = 489  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.048000  方向盘角度 = 489  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.096000  方向盘角度 = 488  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.142000  方向盘角度 = 488  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.191000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.236000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.283000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.330000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.375000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.422000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.469000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.515000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.561000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.608000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.656000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.701000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.748000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.793000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.840000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.887000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.934000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555191.981000  方向盘角度 = 487  油门 = 32767  刹车 = -2048
时间戳 = 1723555192.029000  方向盘角度 = 486  油门 = 32767  刹车 = -2048
时间戳 = 1723555192.076000  方向盘角度 = 486  油门 = 32767  刹车 = -2048
时间戳 = 1723555192.121000  方向盘角度 = 482  油门 = 32767  刹车 = -1792
时间戳 = 1723555192.170000  方向盘角度 = 482  油门 = 32767  刹车 = -1792
时间戳 = 1723555192.215000  方向盘角度 = 481  油门 = 32767  刹车 = -1792
时间戳 = 1723555192.263000  方向盘角度 = 480  油门 = 32767  刹车 = -1792
时间戳 = 1723555192.311000  方向盘角度 = 476  油门 = 32767  刹车 = -1792
时间戳 = 1723555192.359000  方向盘角度 = 475  油门 = 32767  刹车 = -1792
时间戳 = 1723555192.407000  方向盘角度 = 473  油门 = 32767  刹车 = -1792
时间戳 = 1723555192.454000  方向盘角度 = 469  油门 = 32767  刹车 = -1792
时间戳 = 1723555192.502000  方向盘角度 = 463  油门 = 32767  刹车 = -1792
时间戳 = 1723555192.548000  方向盘角度 = 461  油门 = 32767  刹车 = -1792
时间戳 = 1723555192.595000  方向盘角度 = 456  油门 = 32767  刹车 = -1792
时间戳 = 1723555192.643000  方向盘角度 = 449  油门 = 32767  刹车 = -1792
时间戳 = 1723555192.690000  方向盘角度 = 443  油门 = 32767  刹车 = -1792
时间戳 = 1723555192.737000  方向盘角度 = 441  油门 = 32767  刹车 = -1536
时间戳 = 1723555192.784000  方向盘角度 = 422  油门 = 32767  刹车 = -1536
时间戳 = 1723555192.830000  方向盘角度 = 390  油门 = 32767  刹车 = -1536
时间戳 = 1723555192.878000  方向盘角度 = 355  油门 = 32767  刹车 = -1536
时间戳 = 1723555192.924000  方向盘角度 = 310  油门 = 32767  刹车 = -1536
时间戳 = 1723555192.971000  方向盘角度 = 253  油门 = 32767  刹车 = -1536
时间戳 = 1723555193.017000  方向盘角度 = 193  油门 = 32767  刹车 = -1536
时间戳 = 1723555193.063000  方向盘角度 = 120  油门 = 32767  刹车 = -1536
时间戳 = 1723555193.112000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.157000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.204000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.250000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.296000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.345000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.391000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.437000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.484000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.530000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.578000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.625000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.673000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.721000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.768000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.815000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.863000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.909000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555193.955000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555194.002000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555194.050000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555194.096000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555194.145000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555194.191000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555194.237000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555194.283000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555194.328000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555194.375000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555194.421000  方向盘角度 = 56  油门 = 32767  刹车 = -1280
时间戳 = 1723555194.467000  方向盘角度 = -213  油门 = 32767  刹车 = -512
时间戳 = 1723555194.515000  方向盘角度 = -213  油门 = 32767  刹车 = -512
时间戳 = 1723555194.562000  方向盘角度 = -213  油门 = 32767  刹车 = -512
时间戳 = 1723555194.608000  方向盘角度 = -213  油门 = 32767  刹车 = -512
时间戳 = 1723555194.656000  方向盘角度 = -213  油门 = 32767  刹车 = -512
