时间戳 = 1724636810.173000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.219000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.265000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.313000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.359000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.405000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.451000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.499000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.547000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.593000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.640000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.688000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.736000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.784000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.832000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.879000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.925000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636810.970000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.017000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.065000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.111000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.158000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.203000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.251000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.297000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
时间戳 = 1724636811.344000  方向盘角度 = -944  油门 = 32767  刹车 = 32767
