时间戳 = 1753496183.829000  方向盘角度 = 0  油门 = 0  刹车 = 0
时间戳 = 1753496183.874000  方向盘角度 = 946  油门 = 32767  刹车 = 1821
时间戳 = 1753496183.920000  方向盘角度 = 946  油门 = 32767  刹车 = 1821
时间戳 = 1753496183.966000  方向盘角度 = 946  油门 = 32767  刹车 = 2081
时间戳 = 1753496184.014000  方向盘角度 = 947  油门 = 32767  刹车 = 1821
时间戳 = 1753496184.061000  方向盘角度 = 952  油门 = 32767  刹车 = 1821
时间戳 = 1753496184.109000  方向盘角度 = 952  油门 = 32767  刹车 = 1821
时间戳 = 1753496184.155000  方向盘角度 = 952  油门 = 32767  刹车 = 1821
时间戳 = 1753496184.202000  方向盘角度 = 952  油门 = 32767  刹车 = 1821
时间戳 = 1753496184.250000  方向盘角度 = 952  油门 = 32767  刹车 = 1821
时间戳 = 1753496184.297000  方向盘角度 = 952  油门 = 32767  刹车 = 1821
时间戳 = 1753496184.343000  方向盘角度 = 952  油门 = 32767  刹车 = 1821
时间戳 = 1753496184.391000  方向盘角度 = 952  油门 = 32767  刹车 = 1821
时间戳 = 1753496184.439000  方向盘角度 = 952  油门 = 32767  刹车 = 2081
时间戳 = 1753496184.485000  方向盘角度 = 952  油门 = 32767  刹车 = 2081
时间戳 = 1753496184.531000  方向盘角度 = 952  油门 = 32767  刹车 = 1821
时间戳 = 1753496184.578000  方向盘角度 = 952  油门 = 32767  刹车 = 1821
时间戳 = 1753496184.623000  方向盘角度 = 952  油门 = 32767  刹车 = 1821
时间戳 = 1753496184.671000  方向盘角度 = 952  油门 = 32767  刹车 = 1821
时间戳 = 1753496184.717000  方向盘角度 = 952  油门 = 32767  刹车 = 2601
时间戳 = 1753496184.765000  方向盘角度 = 952  油门 = 32767  刹车 = 2601
时间戳 = 1753496184.812000  方向盘角度 = 952  油门 = 32767  刹车 = 2601
时间戳 = 1753496184.858000  方向盘角度 = 952  油门 = 32767  刹车 = 2601
时间戳 = 1753496184.906000  方向盘角度 = 952  油门 = 32767  刹车 = 2601
时间戳 = 1753496184.953000  方向盘角度 = 952  油门 = 32767  刹车 = 2601
时间戳 = 1753496185.000000  方向盘角度 = 948  油门 = 32767  刹车 = 2601
时间戳 = 1753496185.048000  方向盘角度 = 948  油门 = 32767  刹车 = 2862
时间戳 = 1753496185.096000  方向盘角度 = 948  油门 = 32767  刹车 = 2862
时间戳 = 1753496185.143000  方向盘角度 = 948  油门 = 32767  刹车 = 2862
时间戳 = 1753496185.189000  方向盘角度 = 948  油门 = 32767  刹车 = 2862
时间戳 = 1753496185.235000  方向盘角度 = 948  油门 = 32767  刹车 = 2601
时间戳 = 1753496185.280000  方向盘角度 = 948  油门 = 32767  刹车 = 2601
时间戳 = 1753496185.327000  方向盘角度 = 948  油门 = 32767  刹车 = 2601
时间戳 = 1753496185.374000  方向盘角度 = 948  油门 = 32767  刹车 = 2601
时间戳 = 1753496185.421000  方向盘角度 = 948  油门 = 32767  刹车 = 2601
时间戳 = 1753496185.467000  方向盘角度 = 948  油门 = 32767  刹车 = 2601
时间戳 = 1753496185.515000  方向盘角度 = 948  油门 = 32767  刹车 = 2601
时间戳 = 1753496185.563000  方向盘角度 = 948  油门 = 32767  刹车 = 2862
时间戳 = 1753496185.608000  方向盘角度 = 948  油门 = 32767  刹车 = 2862
时间戳 = 1753496185.656000  方向盘角度 = 948  油门 = 32767  刹车 = 2862
时间戳 = 1753496185.703000  方向盘角度 = 948  油门 = 32767  刹车 = 2862
时间戳 = 1753496185.751000  方向盘角度 = 948  油门 = 32767  刹车 = 2862
时间戳 = 1753496185.799000  方向盘角度 = 948  油门 = 32767  刹车 = 2862
时间戳 = 1753496185.845000  方向盘角度 = 948  油门 = 32767  刹车 = 2862
时间戳 = 1753496185.891000  方向盘角度 = 948  油门 = 32767  刹车 = 2862
时间戳 = 1753496185.939000  方向盘角度 = 948  油门 = 32767  刹车 = 2862
