时间戳 = 1753465066.653000  方向盘角度 = 0  油门 = 0  刹车 = 0
时间戳 = 1753465066.700000  方向盘角度 = -1401  油门 = 32767  刹车 = 21585
时间戳 = 1753465066.746000  方向盘角度 = -1406  油门 = 32767  刹车 = 21585
时间戳 = 1753465066.793000  方向盘角度 = -1407  油门 = 32767  刹车 = 21845
时间戳 = 1753465066.841000  方向盘角度 = -1420  油门 = 32767  刹车 = 22105
时间戳 = 1753465066.889000  方向盘角度 = -1452  油门 = 32767  刹车 = 22105
时间戳 = 1753465066.933000  方向盘角度 = -1491  油门 = 32767  刹车 = 22105
时间戳 = 1753465066.980000  方向盘角度 = -1531  油门 = 32767  刹车 = 22105
时间戳 = 1753465067.026000  方向盘角度 = -1566  油门 = 32767  刹车 = 22105
时间戳 = 1753465067.074000  方向盘角度 = -1585  油门 = 32767  刹车 = 22105
时间戳 = 1753465067.120000  方向盘角度 = -1585  油门 = 32767  刹车 = 22365
时间戳 = 1753465067.167000  方向盘角度 = -1585  油门 = 32767  刹车 = 22625
时间戳 = 1753465067.214000  方向盘角度 = -1591  油门 = 32767  刹车 = 22625
时间戳 = 1753465067.260000  方向盘角度 = -1604  油门 = 32767  刹车 = 22625
时间戳 = 1753465067.307000  方向盘角度 = -1617  油门 = 32767  刹车 = 22625
时间戳 = 1753465067.353000  方向盘角度 = -1637  油门 = 32767  刹车 = 22625
时间戳 = 1753465067.388000  方向盘角度 = -1680  油门 = 32767  刹车 = 22625
时间戳 = 1753465067.430000  方向盘角度 = -1710  油门 = 32767  刹车 = 22885
时间戳 = 1753465067.477000  方向盘角度 = -1734  油门 = 32767  刹车 = 22885
时间戳 = 1753465067.525000  方向盘角度 = -1741  油门 = 32767  刹车 = 22885
时间戳 = 1753465067.571000  方向盘角度 = -1741  油门 = 32767  刹车 = 23145
时间戳 = 1753465067.619000  方向盘角度 = -1741  油门 = 32767  刹车 = 23145
时间戳 = 1753465067.666000  方向盘角度 = -1742  油门 = 32767  刹车 = 23405
时间戳 = 1753465067.715000  方向盘角度 = -1749  油门 = 32767  刹车 = 23405
时间戳 = 1753465067.762000  方向盘角度 = -1768  油门 = 32767  刹车 = 23405
时间戳 = 1753465067.808000  方向盘角度 = -1796  油门 = 32767  刹车 = 23405
时间戳 = 1753465067.856000  方向盘角度 = -1835  油门 = 32767  刹车 = 23405
时间戳 = 1753465067.904000  方向盘角度 = -1874  油门 = 32767  刹车 = 23405
时间戳 = 1753465067.950000  方向盘角度 = -1887  油门 = 32767  刹车 = 23405
时间戳 = 1753465067.997000  方向盘角度 = -1887  油门 = 32767  刹车 = 23405
时间戳 = 1753465068.043000  方向盘角度 = -1887  油门 = 32767  刹车 = 23405
时间戳 = 1753465068.089000  方向盘角度 = -1891  油门 = 32767  刹车 = 23405
时间戳 = 1753465068.136000  方向盘角度 = -1898  油门 = 32767  刹车 = 23405
时间戳 = 1753465068.183000  方向盘角度 = -1911  油门 = 32767  刹车 = 23405
时间戳 = 1753465068.229000  方向盘角度 = -1912  油门 = 32767  刹车 = 23405
时间戳 = 1753465068.276000  方向盘角度 = -1917  油门 = 32767  刹车 = 23405
时间戳 = 1753465068.323000  方向盘角度 = -1925  油门 = 32767  刹车 = 23405
时间戳 = 1753465068.368000  方向盘角度 = -1933  油门 = 32767  刹车 = 23405
时间戳 = 1753465068.415000  方向盘角度 = -1950  油门 = 32767  刹车 = 23405
时间戳 = 1753465068.462000  方向盘角度 = -1989  油门 = 32767  刹车 = 23665
时间戳 = 1753465068.508000  方向盘角度 = -2024  油门 = 32767  刹车 = 23665
时间戳 = 1753465068.556000  方向盘角度 = -2049  油门 = 32767  刹车 = 23925
时间戳 = 1753465068.604000  方向盘角度 = -2049  油门 = 32767  刹车 = 23925
时间戳 = 1753465068.650000  方向盘角度 = -2049  油门 = 32767  刹车 = 24706
时间戳 = 1753465068.697000  方向盘角度 = -2049  油门 = 32767  刹车 = 25746
时间戳 = 1753465068.746000  方向盘角度 = -2049  油门 = 32767  刹车 = 27046
时间戳 = 1753465068.792000  方向盘角度 = -2049  油门 = 32767  刹车 = 28606
时间戳 = 1753465068.840000  方向盘角度 = -2049  油门 = 32767  刹车 = 29386
时间戳 = 1753465068.888000  方向盘角度 = -2049  油门 = 32767  刹车 = 30427
时间戳 = 1753465068.935000  方向盘角度 = -2049  油门 = 32767  刹车 = 31467
时间戳 = 1753465068.981000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.029000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.076000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.121000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.167000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.214000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.260000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.307000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.353000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.400000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.447000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.493000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.539000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.587000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.634000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.683000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.729000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.775000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.821000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.868000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.915000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465069.963000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465070.009000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465070.057000  方向盘角度 = -2049  油门 = 32767  刹车 = 32767
时间戳 = 1753465070.105000  方向盘角度 = -2056  油门 = 32767  刹车 = 32767
时间戳 = 1753465070.150000  方向盘角度 = -2075  油门 = 32767  刹车 = 32767
时间戳 = 1753465070.198000  方向盘角度 = -2095  油门 = 32767  刹车 = 32767
时间戳 = 1753465070.246000  方向盘角度 = -2134  油门 = 32767  刹车 = 32767
时间戳 = 1753465070.292000  方向盘角度 = -2187  油门 = 32767  刹车 = 32767
时间戳 = 1753465070.337000  方向盘角度 = -2222  油门 = 32767  刹车 = 32767
时间戳 = 1753465070.385000  方向盘角度 = -2240  油门 = 32767  刹车 = 32767
时间戳 = 1753465070.431000  方向盘角度 = -2245  油门 = 32767  刹车 = 31207
时间戳 = 1753465070.479000  方向盘角度 = -2258  油门 = 32767  刹车 = 29646
