时间戳 = 1724294418.603000  方向盘角度 = 0  油门 = 0  刹车 = 0
时间戳 = 1724294418.651000  方向盘角度 = 638  油门 = 32767  刹车 = 23925
时间戳 = 1724294418.699000  方向盘角度 = 651  油门 = 32767  刹车 = 24445
时间戳 = 1724294418.746000  方向盘角度 = 651  油门 = 32767  刹车 = 23665
时间戳 = 1724294418.791000  方向盘角度 = 651  油门 = 32767  刹车 = 23925
时间戳 = 1724294418.836000  方向盘角度 = 653  油门 = 32767  刹车 = 23665
时间戳 = 1724294418.882000  方向盘角度 = 665  油门 = 32767  刹车 = 23665
时间戳 = 1724294418.929000  方向盘角度 = 671  油门 = 32767  刹车 = 23665
时间戳 = 1724294418.977000  方向盘角度 = 672  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.024000  方向盘角度 = 678  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.072000  方向盘角度 = 679  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.119000  方向盘角度 = 679  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.164000  方向盘角度 = 679  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.211000  方向盘角度 = 678  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.257000  方向盘角度 = 677  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.305000  方向盘角度 = 676  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.351000  方向盘角度 = 676  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.397000  方向盘角度 = 676  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.444000  方向盘角度 = 676  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.492000  方向盘角度 = 678  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.537000  方向盘角度 = 685  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.585000  方向盘角度 = 686  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.632000  方向盘角度 = 691  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.679000  方向盘角度 = 697  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.727000  方向盘角度 = 705  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.772000  方向盘角度 = 709  油门 = 32767  刹车 = 23665
时间戳 = 1724294419.820000  方向盘角度 = 710  油门 = 32767  刹车 = 23925
时间戳 = 1724294419.866000  方向盘角度 = 718  油门 = 32767  刹车 = 23405
时间戳 = 1724294419.912000  方向盘角度 = 736  油门 = 32767  刹车 = 23925
时间戳 = 1724294419.959000  方向盘角度 = 750  油门 = 32767  刹车 = 23925
时间戳 = 1724294420.006000  方向盘角度 = 770  油门 = 32767  刹车 = 23665
时间戳 = 1724294420.054000  方向盘角度 = 781  油门 = 32767  刹车 = 23665
时间戳 = 1724294420.102000  方向盘角度 = 781  油门 = 32767  刹车 = 23665
时间戳 = 1724294420.147000  方向盘角度 = 781  油门 = 32767  刹车 = 23665
时间戳 = 1724294420.195000  方向盘角度 = 781  油门 = 32767  刹车 = 23665
时间戳 = 1724294420.243000  方向盘角度 = 781  油门 = 32767  刹车 = 23665
时间戳 = 1724294420.291000  方向盘角度 = 781  油门 = 32767  刹车 = 23665
时间戳 = 1724294420.337000  方向盘角度 = 782  油门 = 32767  刹车 = 23665
时间戳 = 1724294420.385000  方向盘角度 = 783  油门 = 32767  刹车 = 23665
时间戳 = 1724294420.433000  方向盘角度 = 784  油门 = 32767  刹车 = 23665
时间戳 = 1724294420.482000  方向盘角度 = 795  油门 = 32767  刹车 = 23665
时间戳 = 1724294420.528000  方向盘角度 = 796  油门 = 32767  刹车 = 23665
时间戳 = 1724294420.573000  方向盘角度 = 796  油门 = 32767  刹车 = 23665
时间戳 = 1724294420.619000  方向盘角度 = 797  油门 = 32767  刹车 = 23925
时间戳 = 1724294420.663000  方向盘角度 = 797  油门 = 32767  刹车 = 23925
时间戳 = 1724294420.711000  方向盘角度 = 801  油门 = 32767  刹车 = 23925
时间戳 = 1724294420.757000  方向盘角度 = 801  油门 = 32767  刹车 = 23925
时间戳 = 1724294420.804000  方向盘角度 = 801  油门 = 32767  刹车 = 23925
时间戳 = 1724294420.850000  方向盘角度 = 801  油门 = 32767  刹车 = 23925
时间戳 = 1724294420.897000  方向盘角度 = 802  油门 = 32767  刹车 = 23925
时间戳 = 1724294420.944000  方向盘角度 = 804  油门 = 32767  刹车 = 23925
时间戳 = 1724294420.992000  方向盘角度 = 814  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.039000  方向盘角度 = 816  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.085000  方向盘角度 = 823  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.131000  方向盘角度 = 835  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.179000  方向盘角度 = 842  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.227000  方向盘角度 = 848  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.273000  方向盘角度 = 857  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.321000  方向盘角度 = 863  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.369000  方向盘角度 = 863  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.414000  方向盘角度 = 862  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.461000  方向盘角度 = 847  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.508000  方向盘角度 = 823  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.554000  方向盘角度 = 817  油门 = 32767  刹车 = 23405
时间戳 = 1724294421.602000  方向盘角度 = 817  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.647000  方向盘角度 = 817  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.695000  方向盘角度 = 815  油门 = 32767  刹车 = 23405
时间戳 = 1724294421.741000  方向盘角度 = 808  油门 = 32767  刹车 = 23405
时间戳 = 1724294421.789000  方向盘角度 = 807  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.836000  方向盘角度 = 807  油门 = 32767  刹车 = 23405
时间戳 = 1724294421.882000  方向盘角度 = 807  油门 = 32767  刹车 = 23665
时间戳 = 1724294421.932000  方向盘角度 = 807  油门 = 32767  刹车 = 23405
时间戳 = 1724294421.974000  方向盘角度 = 807  油门 = 32767  刹车 = 23665
时间戳 = 1724294422.021000  方向盘角度 = 808  油门 = 32767  刹车 = 23665
时间戳 = 1724294422.069000  方向盘角度 = 808  油门 = 32767  刹车 = 23665
时间戳 = 1724294422.117000  方向盘角度 = 808  油门 = 32767  刹车 = 23665
时间戳 = 1724294422.162000  方向盘角度 = 809  油门 = 32767  刹车 = 23665
时间戳 = 1724294422.208000  方向盘角度 = 809  油门 = 32767  刹车 = 23665
时间戳 = 1724294422.255000  方向盘角度 = 809  油门 = 32767  刹车 = 23665
时间戳 = 1724294422.303000  方向盘角度 = 809  油门 = 32767  刹车 = 23665
时间戳 = 1724294422.350000  方向盘角度 = 809  油门 = 32767  刹车 = 23665
时间戳 = 1724294422.396000  方向盘角度 = 809  油门 = 32767  刹车 = 23665
时间戳 = 1724294422.444000  方向盘角度 = 809  油门 = 32767  刹车 = 23405
时间戳 = 1724294422.492000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294422.537000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294422.585000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294422.633000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294422.680000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294422.727000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294422.773000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294422.820000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294422.867000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294422.912000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294422.959000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.007000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.055000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.102000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.148000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.196000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.244000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.290000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.338000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.385000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.432000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.477000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.524000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.570000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.617000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.664000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.709000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.756000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.803000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.851000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.897000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.946000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294423.992000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.038000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.086000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.131000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.178000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.227000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.274000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.320000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.367000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.413000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.460000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.506000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.554000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.602000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.649000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.695000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.742000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.789000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.835000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.882000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.927000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294424.975000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.023000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.069000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.117000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.164000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.210000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.257000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.305000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.353000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.398000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.443000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.490000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.538000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.585000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.631000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.678000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.726000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.773000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.821000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.868000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.915000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294425.961000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.007000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.055000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.102000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.150000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.198000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.243000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.289000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.336000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.384000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.430000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.478000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.524000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.569000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.616000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.664000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.711000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.759000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.804000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.852000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.897000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.942000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294426.989000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
时间戳 = 1724294427.036000  方向盘角度 = 810  油门 = 32767  刹车 = 23405
