时间戳 = 1753527800.821000  方向盘角度 = 0  油门 = 0  刹车 = 0
时间戳 = 1753527800.868000  方向盘角度 = -590  油门 = 32767  刹车 = -3072
时间戳 = 1753527800.914000  方向盘角度 = -590  油门 = 32767  刹车 = -3328
时间戳 = 1753527800.960000  方向盘角度 = -589  油门 = 32767  刹车 = -3328
时间戳 = 1753527801.005000  方向盘角度 = -589  油门 = 32767  刹车 = -3328
时间戳 = 1753527801.053000  方向盘角度 = -589  油门 = 32767  刹车 = -3328
时间戳 = 1753527801.100000  方向盘角度 = -589  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.148000  方向盘角度 = -589  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.195000  方向盘角度 = -588  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.242000  方向盘角度 = -588  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.288000  方向盘角度 = -588  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.334000  方向盘角度 = -588  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.382000  方向盘角度 = -588  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.428000  方向盘角度 = -583  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.474000  方向盘角度 = -583  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.520000  方向盘角度 = -582  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.567000  方向盘角度 = -581  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.603000  方向盘角度 = -581  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.646000  方向盘角度 = -581  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.694000  方向盘角度 = -581  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.742000  方向盘角度 = -581  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.788000  方向盘角度 = -581  油门 = 32767  刹车 = -3584
时间戳 = 1753527801.835000  方向盘角度 = -580  油门 = 32767  刹车 = -3072
时间戳 = 1753527801.882000  方向盘角度 = -580  油门 = 32767  刹车 = -3072
时间戳 = 1753527801.928000  方向盘角度 = -580  油门 = 32767  刹车 = -3072
时间戳 = 1753527801.974000  方向盘角度 = -580  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.020000  方向盘角度 = -580  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.068000  方向盘角度 = -577  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.115000  方向盘角度 = -577  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.163000  方向盘角度 = -576  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.209000  方向盘角度 = -576  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.256000  方向盘角度 = -576  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.301000  方向盘角度 = -576  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.349000  方向盘角度 = -576  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.396000  方向盘角度 = -576  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.443000  方向盘角度 = -576  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.488000  方向盘角度 = -576  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.536000  方向盘角度 = -576  油门 = 32767  刹车 = -3584
时间戳 = 1753527802.584000  方向盘角度 = -576  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.631000  方向盘角度 = -576  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.679000  方向盘角度 = -576  油门 = 32767  刹车 = -3584
时间戳 = 1753527802.725000  方向盘角度 = -575  油门 = 32767  刹车 = -3584
时间戳 = 1753527802.773000  方向盘角度 = -574  油门 = 32767  刹车 = -3584
时间戳 = 1753527802.821000  方向盘角度 = -570  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.869000  方向盘角度 = -568  油门 = 32767  刹车 = -3072
时间戳 = 1753527802.915000  方向盘角度 = -568  油门 = 32767  刹车 = -3072
