时间戳 = 1724135000.086000  方向盘角度 = 0  油门 = 0  刹车 = 0
时间戳 = 1724135000.132000  方向盘角度 = -819  油门 = 28606  刹车 = 32767
时间戳 = 1724135000.178000  方向盘角度 = -799  油门 = 28606  刹车 = 32767
时间戳 = 1724135000.226000  方向盘角度 = -785  油门 = 23405  刹车 = 32767
时间戳 = 1724135000.273000  方向盘角度 = -780  油门 = 18724  刹车 = 32767
时间戳 = 1724135000.318000  方向盘角度 = -779  油门 = 20805  刹车 = 32767
时间戳 = 1724135000.365000  方向盘角度 = -780  油门 = 21585  刹车 = 32767
时间戳 = 1724135000.412000  方向盘角度 = -780  油门 = 19765  刹车 = 32767
时间戳 = 1724135000.459000  方向盘角度 = -780  油门 = 19245  刹车 = 32767
时间戳 = 1724135000.507000  方向盘角度 = -780  油门 = 20285  刹车 = 32767
时间戳 = 1724135000.555000  方向盘角度 = -780  油门 = 20285  刹车 = 32767
时间戳 = 1724135000.602000  方向盘角度 = -780  油门 = 20285  刹车 = 32767
时间戳 = 1724135000.650000  方向盘角度 = -780  油门 = 19765  刹车 = 32767
时间戳 = 1724135000.698000  方向盘角度 = -780  油门 = 19505  刹车 = 32767
时间戳 = 1724135000.746000  方向盘角度 = -780  油门 = 19505  刹车 = 32767
时间戳 = 1724135000.795000  方向盘角度 = -780  油门 = 19245  刹车 = 32767
时间戳 = 1724135000.841000  方向盘角度 = -780  油门 = 18984  刹车 = 32767
时间戳 = 1724135000.888000  方向盘角度 = -780  油门 = 18464  刹车 = 32767
时间戳 = 1724135000.934000  方向盘角度 = -780  油门 = 17944  刹车 = 32767
时间戳 = 1724135000.980000  方向盘角度 = -779  油门 = 17164  刹车 = 32767
时间戳 = 1724135001.026000  方向盘角度 = -778  油门 = 16904  刹车 = 32767
时间戳 = 1724135001.072000  方向盘角度 = -778  油门 = 16904  刹车 = 32767
时间戳 = 1724135001.119000  方向盘角度 = -777  油门 = 16904  刹车 = 32767
时间戳 = 1724135001.165000  方向盘角度 = -772  油门 = 16904  刹车 = 32767
时间戳 = 1724135001.213000  方向盘角度 = -772  油门 = 16904  刹车 = 32767
时间戳 = 1724135001.259000  方向盘角度 = -773  油门 = 16904  刹车 = 32767
时间戳 = 1724135001.306000  方向盘角度 = -773  油门 = 16904  刹车 = 32767
时间戳 = 1724135001.353000  方向盘角度 = -773  油门 = 16124  刹车 = 32767
时间戳 = 1724135001.401000  方向盘角度 = -773  油门 = 16124  刹车 = 32767
时间戳 = 1724135001.448000  方向盘角度 = -773  油门 = 16124  刹车 = 32767
时间戳 = 1724135001.494000  方向盘角度 = -773  油门 = 16124  刹车 = 32767
时间戳 = 1724135001.541000  方向盘角度 = -773  油门 = 15084  刹车 = 32767
时间戳 = 1724135001.587000  方向盘角度 = -773  油门 = 14564  刹车 = 32767
时间戳 = 1724135001.633000  方向盘角度 = -773  油门 = 13784  刹车 = 32767
时间戳 = 1724135001.681000  方向盘角度 = -773  油门 = 13523  刹车 = 32767
时间戳 = 1724135001.727000  方向盘角度 = -773  油门 = 13523  刹车 = 32767
时间戳 = 1724135001.775000  方向盘角度 = -773  油门 = 13784  刹车 = 32767
时间戳 = 1724135001.821000  方向盘角度 = -773  油门 = 14044  刹车 = 32767
时间戳 = 1724135001.868000  方向盘角度 = -773  油门 = 14044  刹车 = 32767
时间戳 = 1724135001.916000  方向盘角度 = -753  油门 = 14304  刹车 = 32767
时间戳 = 1724135001.964000  方向盘角度 = -694  油门 = 16124  刹车 = 32767
时间戳 = 1724135002.010000  方向盘角度 = -614  油门 = 18724  刹车 = 32767
时间戳 = 1724135002.057000  方向盘角度 = -464  油门 = 24966  刹车 = 32767
时间戳 = 1724135002.104000  方向盘角度 = -255  油门 = 32767  刹车 = 32767
时间戳 = 1724135002.151000  方向盘角度 = -40  油门 = 32767  刹车 = 32767
时间戳 = 1724135002.199000  方向盘角度 = 185  油门 = 32767  刹车 = 32767
时间戳 = 1724135002.246000  方向盘角度 = 435  油门 = 32767  刹车 = 32767
时间戳 = 1724135002.295000  方向盘角度 = 605  油门 = 32767  刹车 = 32767
时间戳 = 1724135002.340000  方向盘角度 = 638  油门 = 32767  刹车 = 32767
时间戳 = 1724135002.388000  方向盘角度 = 593  油门 = 32767  刹车 = 32767
时间戳 = 1724135002.435000  方向盘角度 = 528  油门 = 32767  刹车 = 32767
时间戳 = 1724135002.480000  方向盘角度 = 462  油门 = 32767  刹车 = 32767
时间戳 = 1724135002.527000  方向盘角度 = 430  油门 = 32767  刹车 = 32767
时间戳 = 1724135002.575000  方向盘角度 = 427  油门 = 32767  刹车 = 32767
时间戳 = 1724135002.621000  方向盘角度 = 427  油门 = 32767  刹车 = 32767
时间戳 = 1724135002.668000  方向盘角度 = 422  油门 = 32767  刹车 = 32767
时间戳 = 1724135002.716000  方向盘角度 = 421  油门 = 32767  刹车 = 32767
时间戳 = 1724135002.764000  方向盘角度 = 415  油门 = 32767  刹车 = 28606
时间戳 = 1724135002.812000  方向盘角度 = 404  油门 = 32767  刹车 = 23405
时间戳 = 1724135002.860000  方向盘角度 = 391  油门 = 32767  刹车 = 20285
时间戳 = 1724135002.904000  方向盘角度 = 370  油门 = 32767  刹车 = 21845
时间戳 = 1724135002.949000  方向盘角度 = 330  油门 = 32767  刹车 = 22365
时间戳 = 1724135002.994000  方向盘角度 = 273  油门 = 32767  刹车 = 23405
时间戳 = 1724135003.040000  方向盘角度 = 200  油门 = 32767  刹车 = 24445
时间戳 = 1724135003.087000  方向盘角度 = 129  油门 = 32767  刹车 = 24445
时间戳 = 1724135003.132000  方向盘角度 = 83  油门 = 32767  刹车 = 24445
时间戳 = 1724135003.180000  方向盘角度 = 67  油门 = 32767  刹车 = 23405
时间戳 = 1724135003.228000  方向盘角度 = 68  油门 = 32767  刹车 = 22625
时间戳 = 1724135003.275000  方向盘角度 = 68  油门 = 32767  刹车 = 21065
时间戳 = 1724135003.322000  方向盘角度 = 68  油门 = 32767  刹车 = 17164
时间戳 = 1724135003.370000  方向盘角度 = 68  油门 = 32767  刹车 = 16904
时间戳 = 1724135003.417000  方向盘角度 = 68  油门 = 32767  刹车 = 17164
时间戳 = 1724135003.465000  方向盘角度 = 94  油门 = 32767  刹车 = 16644
时间戳 = 1724135003.510000  方向盘角度 = 141  油门 = 32767  刹车 = 16644
